facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V08) (516GB) St. Petersburg,,650,650,,,100.00%,0,0.00%,644,,5,1,0,0,0,0,0,1,1,
(V08) (516GC) Palm Harbor,,"2,237","2,189",,,97.85%,48,2.15%,"2,058",,76,55,20,18,10,0,4.00,0,3,
(V08) (516GD) Bradenton,,"4,304","4,221",,,98.07%,83,1.93%,"3,827",,202,192,81,2,0,0,2,3,4,
(V08) (516GE) Port Charlotte,,"3,352","3,301",,,98.48%,51,1.52%,"2,924",,218,159,33,13,4,1,4.10,3,2.30,
(V08) (516GF) Naples,,"2,163","2,162",,,99.95%,1,0.05%,"2,021",,91,50,0,1,0,0,1,3,3,
(V08) (516GH) Sebring,,"1,384","1,379",,,99.64%,5,0.36%,"1,308",,41,30,5,0,0,0,1,6.10,2,
"(V08) (546) Miami, FL",,"47,908","46,961",,,98.02%,947,1.98%,"43,952",,"1,486","1,523",719,148,32,48,4,3,2,
(V08) (546) Bruce W Carter VAMC,,"28,728","28,333",,,98.63%,395,1.37%,"27,055",,648,630,272,86,14,23,4,2,0.20,
"(V08) (546BZ) William Bill Kling
VAOC",,"12,242","11,755",,,96.02%,487,3.98%,"10,472",,606,677,387,57,18,25,6,6,2.60,
(V08) (546GA) Miami,,866,866,,,100.00%,0,0.00%,856,,6,4,0,0,0,0,1.00,,2,
(V08) (546GB) Key West,,"1,379","1,371",,,99.42%,8,0.58%,"1,297",,40,34,8,0,0,0,2,1,3,
(V08) (546GC) Homestead,,"1,736","1,725",,,99.37%,11,0.63%,"1,578",,91,56,10,1,0,0,3,1,3.90,
(V08) (546GD) Pembroke Pines,,694,669,,,96.40%,25,3.60%,603,,17,49,22,3,0,0,4,2.00,5,
(V08) (546GE) Key Largo,,292,289,,,98.97%,3,1.03%,256,,17,16,3,0,0,0,3,3,5,
(V08) (546GF) Hollywood,,"1,315","1,301",,,98.94%,14,1.06%,"1,224",,34,43,14,0,0,0,3,1,3,
(V08) (546GH) Deerfield Beach,,656,652,,,99.39%,4,0.61%,611,,27,14,3,1,0,0,2,1,5,
"(V08) (548) West Palm Beach, FL",,"50,205","48,858",,,97.32%,"1,347",2.68%,"43,818",,"2,501","2,539","1,008",230,77,32,2,6,4,
(V08) (548) West Palm Beach VAMC,,"38,457","37,153",,,96.61%,"1,304",3.39%,"32,522",,"2,268","2,363",972,226,75,31,4,6,4,
(V08) (548GA) Fort Pierce,,"2,289","2,275",,,99.39%,14,0.61%,"2,168",,58,49,14,0,0,0,1,2.30,5,
(V08) (548GB) Delray Beach,,"2,908","2,904",,,99.86%,4,0.14%,"2,831",,24,49,3,1,0,0,0,1,2,
(V08) (548GC) Stuart,,"2,702","2,695",,,99.74%,7,0.26%,"2,533",,103,59,7,0,0,0,2,2.50,4,
(V08) (548GD) Boca Raton,,"1,569","1,554",,,99.04%,15,0.96%,"1,508",,32,14,10,3,1,1,1,2,7,
(V08) (548GE) Vero Beach,,"1,483","1,483",,,100.00%,0,0.00%,"1,479",,3,1,0,0,0,0,0,0.10,0.20,
(V08) (548GF) Okeechobee,,797,794,,,99.62%,3,0.38%,777,,13,4,2,0,1,0,1,1,5,
"(V08) (573) Gainesville, FL",,"81,289","77,685",,,95.57%,"3,604",4.43%,"68,305",,"4,736","4,644","2,273",803,139,389,7,7,3,
(V08) (573) Malcolm Randall VAMC,,"29,307","28,076",,,95.80%,"1,231",4.20%,"25,260",,"1,360","1,456",770,291,65,105,4,7,3,
(V08) (573A4) Lake City VAMC,,"9,868","9,582",,,97.10%,286,2.90%,"8,510",,524,548,188,65,12,21,7,6,1,
"(V08) (573BY) Jacksonville 1 VA
Clinic",,"14,972","13,706",,,91.54%,"1,266",8.46%,"11,297",,"1,141","1,268",838,341,34,53,6.00,12.20,4,
(V08) (573GA) Valdosta,,"1,097","1,096",,,99.91%,1,0.09%,"1,061",,23,12,1,0,0,0,1,2,0.00,
(V08) (573GD) Ocala,,"3,450","3,398",,,98.49%,52,1.51%,"3,103",,165,130,41,10,0,1,2.30,3,5,
(V08) (573GE) Saint Augustine,,"2,199","2,157",,,98.09%,42,1.91%,"1,918",,141,98,38,2,2,0,2,6,4,
(V08) (573GF) Tallahassee,,"6,524","6,275",,,96.18%,249,3.82%,"5,249",,527,499,191,41,14,3,7,4,7.60,
(V08) (573GG) Lecanto,,"1,903","1,829",,,96.11%,74,3.89%,"1,690",,78,61,22,3,4,45,10.90,4,1,
(V08) (573GI) The Villages,,"7,423","7,119",,,95.90%,304,4.10%,"6,246",,490,383,116,23,5,160,19.50,3,3,
(V08) (573GJ) Saint Marys,,961,952,,,99.06%,9,0.94%,855,,62,35,6,2,1,0,3,3,3.00,
(V08) (573GK) Marianna,,949,944,,,99.47%,5,0.53%,843,,75,26,5,0,0,0,2,10,2,
(V08) (573GL) Palatka,,810,796,,,98.27%,14,1.73%,688,,54,54,9,5,0,0,3,5,5,
(V08) (573GM) Waycross,,532,530,,,99.62%,2,0.38%,512,,12,6,1,1,0,0,1,2,1,
(V08) (573GN) Perry,,235,234,,,99.57%,1,0.43%,218,,13,3,1,0,0,0,2,19.50,1.00,
"(V08) (573MA) IDES Naval Hospital
Jacksonville",,2,2,,,100.00%,0,0.00%,1,,1,0,0,0,0,0,,7.00,,
(V08) (573QJ) Jacksonville 2,,"1,057",989,,,93.57%,68,6.43%,854,,70,65,46,19,2,1,8,2,5,
"(V08) (672) San Juan, PR",,"73,937","72,132",,,97.56%,"1,805",2.44%,"66,596",,"2,918","2,618","1,057",367,193,188,2,6,3,
(V08) (672) San Juan VAMC,,"51,343","49,593",,,96.59%,"1,750",3.41%,"44,657",,"2,530","2,406","1,014",362,188,186,3,7,4,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V08) (672B0) Ponce,,"8,746","8,736",,,99.89%,10,0.11%,"8,642",,78,16,8,2,0,0,0,0,0,
(V08) (672BZ) Mayaguez,,"8,114","8,106",,,99.90%,8,0.10%,"7,910",,146,50,6,1,1,0,0,1,1.40,
(V08) (672GA) St Croix,,274,270,,,98.54%,4,1.46%,263,,2,5,2,0,2,0,0,24,7,
(V08) (672GB) St Thomas,,304,303,,,99.67%,1,0.33%,290,,10,3,0,0,0,1,3,2,1.00,
(V08) (672GC) Arecibo,,"2,427","2,417",,,99.59%,10,0.41%,"2,343",,33,41,9,0,0,1,1,2,0,
(V08) (672GD) Ceiba,,"1,814","1,793",,,98.84%,21,1.16%,"1,596",,107,90,17,2,2,0,4,12,1,
(V08) (672GE) Guayama,,914,913,,,99.89%,1,0.11%,894,,12,7,1,0,0,0,0,0.00,1,
(V08) (672QC) Vieques,,1,1,,,100.00%,0,0.00%,1,,0,0,0,0,0,0,0.00,,,
"(V08) (673) Tampa, FL",,"65,500","64,326",,,98.21%,"1,174",1.79%,"56,235",,"4,077","4,014",902,217,38,17,2,5,2.70,
"(V08) (673) James A Haley Veterans
Hospital",,"50,741","49,798",,,98.14%,943,1.86%,"43,587",,"2,932","3,279",761,133,33,16,2,5,1.70,
(V08) (673BZ) New Port Richey,,"7,765","7,585",,,97.68%,180,2.32%,"6,687",,505,393,98,78,3,1,2,7,4.20,
(V08) (673GB) Lakeland,,"3,486","3,447",,,98.88%,39,1.12%,"2,882",,357,208,33,5,1,0,2,5,5,
(V08) (673GC) Brooksville,,"2,624","2,623",,,99.96%,1,0.04%,"2,279",,252,92,1,0,0,0,1.80,4,4,
(V08) (673GF) Zephyrhills,,884,873,,,98.76%,11,1.24%,800,,31,42,9,1,1,0,3,2,3,
"(V08) (675) Orlando, FL",,"79,850","76,596",,,95.92%,"3,254",4.08%,"68,120",,"4,066","4,410","2,319",676,198,61,3,7,3,
"(V08) (675) Orlando VA Medical
Center",,"32,148","30,212",,,93.98%,"1,936",6.02%,"25,408",,"2,213","2,591","1,382",409,122,23,7,8,5,
(V08) (675BU) Orlando Domiciliary,,56,56,,,100.00%,0,0.00%,56,,0,0,0,0,0,0,,,,
(V08) (675GA) Viera,,"16,460","15,866",,,96.39%,594,3.61%,"14,247",,793,826,430,101,41,22,2,6,4,
"(V08) (675GB) William V Chappell Jr
VA OPC",,"11,071","10,832",,,97.84%,239,2.16%,"10,319",,283,230,136,65,25,13,2,4,2,
(V08) (675GC) Kissimee,,"1,571","1,563",,,99.49%,8,0.51%,"1,460",,65,38,8,0,0,0,2,,3,
(V08) (675GD) Orange City,,"1,282","1,268",,,98.91%,14,1.09%,"1,220",,24,24,11,3,0,0,2,0,1,
(V08) (675GE) Tavares VA Clinic,,"1,853","1,833",,,98.92%,20,1.08%,"1,648",,115,70,19,0,0,1,4,3,3,
(V08) (675GF) Clermont,,"1,112","1,059",,,95.23%,53,4.77%,927,,85,47,45,6,2,0,7.20,5.80,4.90,
(V08) (675GG) Lake Baldwin,,"14,210","13,820",,,97.26%,390,2.74%,"12,748",,488,584,288,92,8,2,3,6,3,
(V08) (675QC) Westside Pavilion,,87,87,,,100.00%,0,0.00%,87,,0,0,0,0,0,0,,,0,
"(V09) (581) Huntington, WV",,"23,611","22,945",,,97.18%,666,2.82%,"20,092",,"1,410","1,443",532,105,26,3,4,6,2,
(V09) (581) Huntington VAMC,,"19,853","19,236",,,96.89%,617,3.11%,"16,758",,"1,215","1,263",487,102,25,3,5,6,2,
(V09) (581GA) Prestonsburg,,"1,658","1,625",,,98.01%,33,1.99%,"1,503",,61,61,30,2,1,0,3,4,4,
(V09) (581GB) Charleston,,"2,100","2,084",,,99.24%,16,0.76%,"1,831",,134,119,15,1,0,0,3,1,4,
"(V09) (596) Lexington, KY",,"24,874","24,144",,,97.07%,730,2.93%,"21,035",,"1,576","1,533",593,132,5,0,2,7.10,3.30,
"(V09) (596) Lexington VAMC-
Leestown",,"9,807","9,686",,,98.77%,121,1.23%,"8,534",,611,541,106,15,0,0,2,5.10,4,
(V09) (596A4) Lexington-Cooper Dr,,"11,210","10,660",,,95.09%,550,4.91%,"8,932",,824,904,430,116,4,0,,8,1.40,
(V09) (596BU) Lexington Domiciliary,,34,34,,,100.00%,0,0.00%,34,,0,0,0,0,0,0,,,,
(V09) (596GA) Somerset,,"1,554","1,509",,,97.10%,45,2.90%,"1,388",,76,45,43,1,1,0,2,4,5,
(V09) (596GB) Morehead,,528,528,,,100.00%,0,0.00%,514,,10,4,0,0,0,0,1,2,1,
(V09) (596GC) Hazard,,715,709,,,99.16%,6,0.84%,664,,29,16,6,0,0,0,2,18,0,
(V09) (596GD) Berea,,"1,026","1,018",,,99.22%,8,0.78%,969,,26,23,8,0,0,0,0.90,2,1,
"(V09) (603) Louisville, KY",,"30,162","29,947",,,99.29%,215,0.71%,"27,090",,"1,517","1,340",138,53,18,6,3,3,1,
(V09) (603) Robley Rex VAMC,,"15,734","15,530",,,98.70%,204,1.30%,"14,059",,725,746,128,52,18,6,1,3,1,
(V09) (603BU) Louisville Domiciliary,,12,12,,,100.00%,0,0.00%,12,,0,0,0,0,0,0,,,0,
(V09) (603GA) Fort Knox,,"1,718","1,717",,,99.94%,1,0.06%,"1,386",,160,171,0,1,0,0,5,6,2,
(V09) (603GB) New Albany,,"2,372","2,372",,,100.00%,0,0.00%,"2,219",,99,54,0,0,0,0,2,0,1,
(V09) (603GC) Shively,,"2,568","2,561",,,99.73%,7,0.27%,"2,158",,200,203,7,0,0,0,4.40,0,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V09) (603GD) Dupont,,"1,821","1,820",,,99.95%,1,0.05%,"1,726",,68,26,1,0,0,0,2,0,1,
(V09) (603GE) Newburg,,"2,533","2,532",,,99.96%,1,0.04%,"2,290",,158,84,1,0,0,0,2.50,5,1,
(V09) (603GF) Grayson County,,"1,780","1,779",,,99.94%,1,0.06%,"1,686",,61,32,1,0,0,0,2,1,1,
(V09) (603GG) Scott County,,994,994,,,100.00%,0,0.00%,942,,35,17,0,0,0,0,2.00,1,1,
(V09) (603GH) Carrollton,,593,593,,,100.00%,0,0.00%,575,,11,7,0,0,0,0,1,1,2,
(V09) (603MA) IDES Fort Knox,,37,37,,,100.00%,0,0.00%,37,,0,0,0,0,0,0,,0.00,0,
"(V09) (614) Memphis, TN",,"37,643","37,114",,,98.59%,529,1.41%,"34,709",,"1,339","1,066",396,55,52,26,2,4,2,
(V09) (614) Memphis VAMC,,"23,050","22,586",,,97.99%,464,2.01%,"21,180",,749,657,341,46,51,26,2,4,2,
(V09) (614GA) Tupelo,,"1,349","1,335",,,98.96%,14,1.04%,"1,242",,74,19,11,2,1,0,2.20,0.00,3,
(V09) (614GB) Jonesboro,,829,829,,,100.00%,0,0.00%,809,,18,2,0,0,0,0,1,0,1,
"(V09) (614GC) Holly Springs VA
Clinic",,535,534,,,99.81%,1,0.19%,497,,37,0,1,0,0,0,3,0.00,3,
(V09) (614GD) Savannah,,540,540,,,100.00%,0,0.00%,540,,0,0,0,0,0,0,0.00,0.00,0.00,
(V09) (614GE) Covington,,"2,156","2,139",,,99.21%,17,0.79%,"1,966",,88,85,12,5,0,0,4,0.00,1,
"(V09) (614GF) Nonconnah Boulevard
VA Clinic",,"5,587","5,558",,,99.48%,29,0.52%,"5,012",,265,281,27,2,0,0,2,5,0.40,
(V09) (614GG) Jackson,,"1,959","1,955",,,99.80%,4,0.20%,"1,853",,82,20,4,0,0,0,1,4,0,
(V09) (614GI) Dyersburg,,628,628,,,100.00%,0,0.00%,617,,11,0,0,0,0,0,1,0.00,1,
(V09) (614GN) Helena,,236,236,,,100.00%,0,0.00%,219,,15,2,0,0,0,0,3,,1,
(V09) (614QA) Union Avenue,,774,774,,,100.00%,0,0.00%,774,,0,0,0,0,0,0,,,,
"(V09) (621) Mountain Home, TN",,"32,441","31,585",,,97.36%,856,2.64%,"28,044",,"1,803","1,738",642,160,30,24,4,5,2,
(V09) (621) James H Quillen VAMC,,"21,497","20,839",,,96.94%,658,3.06%,"18,384",,"1,209","1,246",483,133,25,17,5,6,1,
"(V09) (621BU) VADOM Mountain
Home",,98,98,,,100.00%,0,0.00%,97,,1,0,0,0,0,0,1,,,
"(V09) (621BY) William C Tallent VA
OPC",,"6,091","6,056",,,99.43%,35,0.57%,"5,430",,367,259,28,5,2,0,3,3.90,2,
(V09) (621GA) Rogersville,,428,426,,,99.53%,2,0.47%,411,,9,6,2,0,0,0,1,0.00,2,
(V09) (621GC) Norton,,"1,034","1,018",,,98.45%,16,1.55%,898,,49,71,9,1,0,6,5,4.60,1,
(V09) (621GG) Morristown,,662,658,,,99.40%,4,0.60%,626,,18,14,4,0,0,0,1,3,2,
(V09) (621GI) Sevierville,,"1,156","1,118",,,96.71%,38,3.29%,"1,037",,41,40,33,5,0,0,4,5,2,
(V09) (621GJ) Bristol,,"1,039",951,,,91.53%,88,8.47%,777,,83,91,74,11,3,0,9,0.00,6,
(V09) (621GK) Campbell County,,436,421,,,96.56%,15,3.44%,384,,26,11,9,5,0,1,5,0.00,4,
"(V09) (626) Middle Tennessee HCS, TN",,"57,097","54,846",,,96.06%,"2,251",3.94%,"49,771",,"2,463","2,612","1,325",582,262,82,5,6,2,
(V09) (626) Nashville VAMC,,"23,954","22,883",,,95.53%,"1,071",4.47%,"20,668",,"1,094","1,121",599,267,159,46,9.20,7,2,
(V09) (626A4) Alvin C York VAMC,,"15,092","14,607",,,96.79%,485,3.21%,"13,720",,396,491,263,118,74,30,3,6,0.60,
(V09) (626GA) Dover,,296,278,,,93.92%,18,6.08%,223,,32,23,17,1,0,0,8,0.00,6,
(V09) (626GC) Bowling Green,,994,900,,,90.54%,94,9.46%,735,,71,94,85,9,0,0,9,0.60,7.50,
(V09) (626GE) Clarksville,,"3,311","3,203",,,96.74%,108,3.26%,"2,859",,115,229,71,30,6,1,5,6,2,
(V09) (626GF) Chattanooga,,"5,786","5,515",,,95.32%,271,4.68%,"4,708",,435,372,122,123,21,5,7,9,3,
(V09) (626GG) Tullahoma,,258,251,,,97.29%,7,2.71%,234,,9,8,7,0,0,0,2,1.50,4,
(V09) (626GH) Cookeville,,"1,030","1,030",,,100.00%,0,0.00%,"1,017",,11,2,0,0,0,0,0,0,0,
(V09) (626GJ) Hopkinsville,,"1,213","1,154",,,95.14%,59,4.86%,"1,036",,72,46,50,8,1,0,6,1,5,
(V09) (626GK) McMinnville,,728,717,,,98.49%,11,1.51%,707,,5,5,10,1,0,0,2,0.00,0,
(V09) (626GL) Roane County,,366,351,,,95.90%,15,4.10%,291,,40,20,14,1,0,0,7,0.00,3,
(V09) (626GM) Maury County,,723,677,,,93.64%,46,6.36%,456,,82,139,45,1,0,0,10,2,13,
(V09) (626GN) Athens,,556,537,,,96.58%,19,3.42%,499,,20,18,19,0,0,0,3.60,1.30,3.50,
"(V09) (626GO) International Plaza VA
Clinic",,729,700,,,96.02%,29,3.98%,621,,46,33,19,9,1,0,6,1.00,1,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V09) (626MA) IDES Fort Campbell,,238,238,,,100.00%,0,0.00%,238,,0,0,0,0,0,0,,0,0.00,
(V09) (626QA) Albion Street,,548,530,,,96.72%,18,3.28%,521,,6,3,4,14,0,0,3,,0.00,
(V09) (626QB) Charlotte Avenue,,"1,142","1,142",,,100.00%,0,0.00%,"1,114",,22,6,0,0,0,0,1,0.00,0,
"(V09) (626QC) Pointe Center VA
Clinic",,113,113,,,100.00%,0,0.00%,105,,6,2,0,0,0,0,,,1,
(V09) (626QD) Glenis Drive VA Clinic,,20,20,,,100.00%,0,0.00%,19,,1,0,0,0,0,0,,,0.90,
"(V10) (538) Chillicothe, OH",,"15,803","15,067",,,95.34%,736,4.66%,"13,180",,929,958,623,87,13,13,4,8,5,
(V10) (538) Chillicothe VAMC,,"10,370","9,773",,,94.24%,597,5.76%,"8,416",,690,667,485,86,13,13,7,9,5,
(V10) (538GA) Athens,,"1,298","1,290",,,99.38%,8,0.62%,"1,191",,63,36,8,0,0,0,2,3,4,
(V10) (538GB) Portsmouth,,"1,099","1,036",,,94.27%,63,5.73%,940,,32,64,63,0,0,0,2,10,8,
(V10) (538GC) Marietta,,788,788,,,100.00%,0,0.00%,722,,33,33,0,0,0,0,1,4,2,
(V10) (538GD) Lancaster,,"1,378","1,310",,,95.07%,68,4.93%,"1,096",,87,127,67,1,0,0,4,10,7,
(V10) (538GE) Cambridge,,870,870,,,100.00%,0,0.00%,815,,24,31,0,0,0,0,1,1,3,
"(V10) (539) Cincinnati, OH",,"32,089","31,569",,,98.38%,520,1.62%,"28,880",,"1,487","1,202",367,98,52,3,2.40,4,1,
(V10) (539) Cincinnati VAMC,,"21,619","21,135",,,97.76%,484,2.24%,"18,926",,"1,153","1,056",336,97,49,2,4,5,1,
"(V10) (539A4) Cincinnati VAMC-Fort
Thomas",,930,928,,,99.78%,2,0.22%,921,,4,3,2,0,0,0,,1,0.00,
(V10) (539GA) Bellevue,,"1,290","1,284",,,99.53%,6,0.47%,"1,246",,32,6,6,0,0,0,2,0,2,
(V10) (539GB) Clermont County,,"2,641","2,616",,,99.05%,25,0.95%,"2,472",,119,25,20,1,3,1,2,2,1,
(V10) (539GC) Dearborn,,"1,740","1,740",,,100.00%,0,0.00%,"1,722",,15,3,0,0,0,0,1,1,1,
(V10) (539GD) Florence,,"1,657","1,656",,,99.94%,1,0.06%,"1,498",,101,57,1,0,0,0,2,3,1,
(V10) (539GE) Hamilton,,"1,747","1,745",,,99.89%,2,0.11%,"1,681",,36,28,2,0,0,0,1,1,1,
(V10) (539GF) Georgetown,,451,451,,,100.00%,0,0.00%,400,,27,24,0,0,0,0,3,0,5,
"(V10) (539QA) Cincinnati VA Mobile
Clinic",,14,14,,,100.00%,0,0.00%,14,,0,0,0,0,0,0,,,,
"(V10) (541) Cleveland, OH",,"74,841","70,984",,,94.85%,"3,857",5.15%,"61,393",,"4,363","5,228","3,151",529,93,84,3.50,8,3,
"(V10) (541) Louis Stokes Cleveland
VAMC",,"31,695","29,460",,,92.95%,"2,235",7.05%,"24,822",,"1,871","2,767","1,963",234,25,13,3,9,4,
(V10) (541BY) Canton,,"5,287","4,764",,,90.11%,523,9.89%,"3,985",,333,446,328,157,15,23,7,16,1,
(V10) (541BZ) Youngstown,,"4,900","4,841",,,98.80%,59,1.20%,"4,285",,315,241,57,2,0,0,2,4,3,
(V10) (541GB) Lorain,,"3,074","3,044",,,99.02%,30,0.98%,"2,755",,162,127,15,5,3,7,3,4,2,
(V10) (541GC) Sandusky,,"1,625","1,584",,,97.48%,41,2.52%,"1,511",,39,34,12,29,0,0,4,2,1,
"(V10) (541GD) David F Winder VA
CBOC",,"3,988","3,956",,,99.20%,32,0.80%,"3,663",,159,134,30,2,0,0,1,3,1,
(V10) (541GE) McCafferty,,646,642,,,99.38%,4,0.62%,586,,33,23,3,1,0,0,1,4.60,2,
(V10) (541GF) Painesville,,"2,345","2,329",,,99.32%,16,0.68%,"2,258",,42,29,14,1,1,0,1,2,1,
(V10) (541GG) Akron,,"6,539","6,219",,,95.11%,320,4.89%,"5,268",,505,446,283,28,8,1,4,8,4,
(V10) (541GH) East Liverpool,,"1,148","1,110",,,96.69%,38,3.31%,981,,73,56,17,2,3,16,9,4.60,2,
(V10) (541GI) Warren,,"1,919","1,875",,,97.71%,44,2.29%,"1,608",,139,128,36,4,2,2,5,5,2,
(V10) (541GJ) New Philadelphia,,"1,498","1,473",,,98.33%,25,1.67%,"1,326",,62,85,23,2,0,0,3,3,2,
(V10) (541GK) Ravenna,,"1,533","1,525",,,99.48%,8,0.52%,"1,497",,18,10,6,1,1,0,1,0.80,1,
(V10) (541GL) Parma,,"8,404","8,011",,,95.32%,393,4.68%,"6,743",,608,660,339,42,9,3,3,9,2,
"(V10) (541GM) Cleveland VA Clinic-
Superior",,68,62,,,91.18%,6,8.82%,23,,3,36,5,1,0,0,,,,
(V10) (541PA) Cleveland PRRTP OH,,8,8,,,100.00%,0,0.00%,8,,0,0,0,0,0,0,,,,
"(V10) (541QF) Cuyahoga County 4
VA Mobile Clinic",,164,81,,,49.39%,83,50.61%,74,,1,6,20,18,26,19,,50,,
"(V10) (552) Dayton, OH",,"25,172","24,656",,,97.95%,516,2.05%,"21,967",,"1,379","1,310",460,50,6,0,2,6,2.10,
(V10) (552) Dayton VAMC,,"19,040","18,634",,,97.87%,406,2.13%,"16,549",,"1,048","1,037",376,26,4,0,1,6,1,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V10) (552GA) Middletown,,"1,385","1,381",,,99.71%,4,0.29%,"1,287",,63,31,4,0,0,0,1,3,2,
(V10) (552GB) Lima,,"1,814","1,779",,,98.07%,35,1.93%,"1,641",,71,67,10,23,2,0,3,8,3,
(V10) (552GC) Richmond,,"1,712","1,652",,,96.50%,60,3.50%,"1,386",,141,125,60,0,0,0,4,10,6,
(V10) (552GD) Springfield,,"1,221","1,210",,,99.10%,11,0.90%,"1,104",,56,50,10,1,0,0,1,4,8.60,
"(V10) (757) Columbus, OH",,"30,558","28,688",,,93.88%,"1,870",6.12%,"24,071",,"2,048","2,569","1,456",328,57,29,6,8,3,
"(V10) (757) Chalmers P Wylie
Veterans OC",,"24,453","22,853",,,93.46%,"1,600",6.54%,"19,027",,"1,637","2,189","1,249",286,44,21,6,8,2,
(V10) (757GA) Zanesville,,"1,357","1,244",,,91.67%,113,8.33%,"1,074",,79,91,82,28,3,0,11,3.00,5.10,
(V10) (757GB) Grove City,,"1,003",986,,,98.31%,17,1.69%,900,,43,43,17,0,0,0,1,4.50,8,
(V10) (757GC) Marion,,"1,054","1,043",,,98.96%,11,1.04%,929,,69,45,9,2,0,0,3,3,4,
(V10) (757GD) Newark,,"1,347","1,283",,,95.25%,64,4.75%,969,,159,155,35,12,9,8,9,11,4,
"(V10) (757QA) Columbus 1 VA
Mobile Clinic",,6,6,,,100.00%,0,0.00%,6,,0,0,0,0,0,0,0.00,,,
(V10) (757QC) Columbus VA Clinic,,"1,338","1,273",,,95.14%,65,4.86%,"1,166",,61,46,64,0,1,0,,,4,
"(V11) (506) Ann Arbor, MI",,"33,683","32,230",,,95.69%,"1,453",4.31%,"29,053",,"1,543","1,634",934,348,54,117,4,7.20,2,
(V11) (506) Ann Arbor VAMC,,"25,073","23,997",,,95.71%,"1,076",4.29%,"21,843",,"1,072","1,082",699,213,49,115,4,7,2,
(V11) (506GA) Toledo,,"6,416","6,072",,,94.64%,344,5.36%,"5,304",,324,444,206,132,4,2,4,9,1,
