facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(3V12) (695) Milwaukee, WI (Clement J. Zablocki)","32,648","31,792",97.38%,856,2.62%,"28,517","1,631","1,644",664,135,29,28,1.51,5.53,1.43,,,
"(3V12) (695BU) Milwaukee, WI - VADOM",83,83,100.00%,0,0.00%,80,2,1,0,0,0,0,,,,,,
"(3V12) (695BY) Appleton, WI (John H. Bradley)","4,973","4,724",94.99%,249,5.01%,"4,148",315,261,128,101,11,9,3.25,11.73,4.17,,,
"(3V12) (695GA) Union Grove, WI",954,952,99.79%,2,0.21%,915,28,9,1,1,0,0,1.31,0.07,0.41,,,
"(3V12) (695GC) Cleveland, WI",846,825,97.52%,21,2.48%,716,59,50,15,2,2,2,4.55,9.40,6.21,,,
"(3V12) (695GD) Green Bay, WI (Milo C. Huempfner)","8,202","7,579",92.40%,623,7.60%,"6,269",625,685,444,140,30,9,6.28,9.08,4.78,,,
"(3V12) (695QA) Milwaukee-MLK Drive, WI",119,119,100.00%,0,0.00%,119,0,0,0,0,0,0,,,,,,
"(3V15) (589A4) Columbia, MO HCS","22,460","21,010",93.54%,"1,450",6.46%,"18,029","1,425","1,556",955,283,145,67,4.80,8.30,7.45,,,
"(3V15) (589A4) Columbia, MO (Harry S. Truman)","16,552","15,383",92.94%,"1,169",7.06%,"13,173","1,024","1,186",746,235,128,60,5.89,8.54,6.88,,,
"(3V15) (589BX) Columbia, MO - VADOM",7,7,100.00%,0,0.00%,7,0,0,0,0,0,0,,,,,,
"(3V15) (589G8) Jefferson City, MO","1,259","1,204",95.63%,55,4.37%,"1,064",75,65,28,15,9,3,3.64,7.86,5.40,,,
"(3V15) (589GE) Kirksville, MO",429,414,96.50%,15,3.50%,356,27,31,11,2,1,1,5.08,4.86,6.78,,,
"(3V15) (589GF) Fort Leonard Wood, MO","1,168","1,079",92.38%,89,7.62%,925,66,88,72,16,1,0,5.29,5.67,13.43,,,
"(3V15) (589GH) Lake of the Ozarks, MO",631,582,92.23%,49,7.77%,471,57,54,46,1,1,1,5.46,12.95,11.27,,,
"(3V15) (589GX) Mexico, MO",454,448,98.68%,6,1.32%,404,30,14,4,0,2,0,2.78,1.81,2.57,,,
"(3V15) (589GY) St. James, MO",681,646,94.86%,35,5.14%,556,56,34,28,7,0,0,4.48,8.45,7.25,,,
"(3V15) (589JA) Sedalia, MO",599,594,99.17%,5,0.83%,514,46,34,4,0,0,1,2.53,2.87,3.10,,,
"(3V15) (589JD) Marshfield, MO",680,653,96.03%,27,3.97%,559,44,50,16,7,3,1,2.34,9.21,9.43,,,
"(3V15) (589) Kansas City, MO HCS","27,248","26,598",97.61%,650,2.39%,"24,057","1,285","1,256",480,108,51,11,2.18,4.29,1.39,,,
"(3V15) (589) Kansas City, MO","19,309","18,708",96.89%,601,3.11%,"16,753",966,989,438,102,50,11,2.05,4.61,1.10,,,
"(3V15) (589G1) Warrensburg, MO","1,147","1,144",99.74%,3,0.26%,"1,029",69,46,2,1,0,0,2.90,1.99,2.24,,,
"(3V15) (589GB) Belton, MO",771,768,99.61%,3,0.39%,736,16,16,2,1,0,0,0.67,0.00,0.01,,,
"(3V15) (589GC) Paola, KS",321,318,99.07%,3,0.93%,280,25,13,3,0,0,0,2.93,0.00,0.64,,,
"(3V15) (589GD) Nevada, MO",507,505,99.61%,2,0.39%,485,12,8,1,1,0,0,1.36,0.00,1.40,,,
"(3V15) (589GZ) Cameron, MO",226,226,100.00%,0,0.00%,226,0,0,0,0,0,0,0.03,0.00,0.00,,,
"(3V15) (589HK) Kansas City, MO -
Mobile",68,68,100.00%,0,0.00%,68,0,0,0,0,0,0,0.09,,,,,
"(3V15) (589JB) Excelsior Springs, MO",535,533,99.63%,2,0.37%,492,24,17,1,1,0,0,2.31,0.00,1.19,,,
"(3V15) (589JC) Johnson County, KS",808,801,99.13%,7,0.87%,722,43,36,5,2,0,0,2.75,0.00,0.00,,,
"(3V15) (589JF) Honor, MO","2,991","2,962",99.03%,29,0.97%,"2,703",129,130,28,0,1,0,2.61,5.40,2.19,,,
(3V15) (589MC) IDES Whiteman AFB,13,13,100.00%,0,0.00%,13,0,0,0,0,0,0,,0.00,0.00,,,
"(3V15) (589QA) Overland Park, KS",552,552,100.00%,0,0.00%,550,1,1,0,0,0,0,,0.10,,,,
(3V15) (589A5) Eastern Kansas HCS,"21,567","20,446",94.80%,"1,121",5.20%,"17,658","1,267","1,521",742,174,70,135,4.34,10.98,3.87,,,
"(3V15) (589A5) Topeka, KS
(Colmery-ONeil)","10,749","10,204",94.93%,545,5.07%,"8,726",634,844,355,70,37,83,3.65,13.11,2.88,,,
"(3V15) (589A6) Leavenworth, KS (Dwight D. Eisenhower)","7,744","7,280",94.01%,464,5.99%,"6,382",413,485,302,84,30,48,4.97,9.09,4.77,,,
"(3V15) (589BU) Leavenworth, KS - VADOM",14,14,100.00%,0,0.00%,12,2,0,0,0,0,0,,7.00,0.00,,,
(3V15) (589G9) Ft. Riley,15,15,100.00%,0,0.00%,7,5,3,0,0,0,0,,9.67,,,,
"(3V15) (589GI) St. Joseph, MO",764,744,97.38%,20,2.62%,675,36,33,16,3,1,0,4.44,1.83,5.48,,,
"(3V15) (589GJ) Wyandotte County, KS",331,327,98.79%,4,1.21%,312,9,6,1,0,0,3,6.81,8.00,0.36,,,
"(3V15) (589GM) Chanute, KS",62,60,96.77%,2,3.23%,42,11,7,2,0,0,0,6.45,,5.90,,,
"(3V15) (589GN) Emporia, KS",71,69,97.18%,2,2.82%,59,5,5,1,1,0,0,3.09,,11.63,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(3V15) (589GP) Garnett, KS",32,28,87.50%,4,12.50%,25,1,2,1,3,0,0,12.65,,6.00,,,
"(3V15) (589GR) Junction City, KS (Lieutenant General Richard J. Seitz- Based)","1,011",953,94.26%,58,5.74%,798,69,86,45,10,2,1,5.36,8.49,6.20,,,
"(3V15) (589GU) Lawrence, KS",249,245,98.39%,4,1.61%,223,6,16,4,0,0,0,1.65,0.00,4.77,,,
"(3V15) (589GV) Fort Scott, KS",173,166,95.95%,7,4.05%,140,14,12,6,1,0,0,5.56,0.00,8.02,,,
"(3V15) (589JE) Platte City, MO",230,220,95.65%,10,4.35%,197,15,8,8,2,0,0,2.01,10.21,4.49,,,
(3V15) (589MA) Ft. Riley DES Clinic,100,99,99.00%,1,1.00%,43,42,14,1,0,0,0,,10.81,6.56,,,
"(3V15) (589MD) IDES Fort
Leavenworth",22,22,100.00%,0,0.00%,17,5,0,0,0,0,0,,3.57,0.00,,,
"(3V15) (589A7) Wichita, KS HCS","16,404","15,578",94.96%,826,5.04%,"13,819",808,951,581,152,54,39,2.96,7.08,4.51,,,
"(3V15) (589A7) Wichita, KS (Robert J. Dole)","13,409","12,689",94.63%,720,5.37%,"11,191",666,832,504,133,49,34,3.37,7.30,4.52,,,
"(3V15) (589G2) Dodge City, KS",208,202,97.12%,6,2.88%,192,7,3,6,0,0,0,1.31,4.88,3.55,,,
"(3V15) (589G3) Liberal, KS",39,39,100.00%,0,0.00%,36,2,1,0,0,0,0,0.82,0.50,17.00,,,
"(3V15) (589G4) Hays, KS",271,269,99.26%,2,0.74%,248,16,5,1,0,0,1,2.04,0.71,4.68,,,
"(3V15) (589G5) Parsons, KS",314,311,99.04%,3,0.96%,286,11,14,2,1,0,0,2.32,1.56,2.61,,,
"(3V15) (589G7) Hutchinson, KS",487,473,97.13%,14,2.87%,437,16,20,11,3,0,0,4.13,0.85,2.97,,,
"(3V15) (589GW) Salina, KS",717,705,98.33%,12,1.67%,659,23,23,10,2,0,0,1.52,1.33,7.93,,,
(3V15) (589MB) IDES McConnel AFB,3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,,3.50,0.00,,,
"(3V15) (589QB) Sedgwick County, KS",12,12,100.00%,0,0.00%,12,0,0,0,0,0,0,,,,,,
"(3V15) (589QC) South Parklane, KS",944,875,92.69%,69,7.31%,755,67,53,47,13,5,4,,7.45,,,,
"(3V15) (657A5) Marion, IL HCS","19,187","18,647",97.19%,540,2.81%,"16,057","1,339","1,251",388,108,24,20,2.71,6.96,3.26,,,
"(3V15) (657A5) Marion, IL","7,636","7,385",96.71%,251,3.29%,"6,288",519,578,206,33,5,7,3.92,6.51,1.68,,,
"(3V15) (657GJ) Evansville, IN","5,612","5,366",95.62%,246,4.38%,"4,487",467,412,145,71,19,11,3.19,7.77,4.49,,,
"(3V15) (657GK) Mount Vernon, IL",487,486,99.79%,1,0.21%,457,23,6,0,1,0,0,1.31,,2.23,,,
"(3V15) (657GL) Paducah, KY",957,954,99.69%,3,0.31%,885,37,32,3,0,0,0,1.61,0.00,2.40,,,
"(3V15) (657GM) Effingham, IL",617,612,99.19%,5,0.81%,523,43,46,5,0,0,0,2.02,0.00,7.20,,,
"(3V15) (657GO) Hanson, KY",192,191,99.48%,1,0.52%,162,16,13,1,0,0,0,3.05,,1.79,,,
"(3V15) (657GP) Owensboro, KY",807,796,98.64%,11,1.36%,670,78,48,9,2,0,0,3.45,,4.07,,,
"(3V15) (657GQ) Vincennes, IN",411,410,99.76%,1,0.24%,378,25,7,1,0,0,0,2.24,,1.15,,,
"(3V15) (657GR) Mayfield, KY",572,560,97.90%,12,2.10%,495,22,43,12,0,0,0,2.22,0.83,6.02,,,
"(3V15) (657GT) Carbondale, IL",598,598,100.00%,0,0.00%,579,12,7,0,0,0,0,0.78,0.00,1.29,,,
"(3V15) (657GU) Harrisburg, IL",369,368,99.73%,1,0.27%,292,42,34,1,0,0,0,4.70,0.00,1.49,,,
"(3V15) (657QC) Enterprise Way, IL",27,27,100.00%,0,0.00%,27,0,0,0,0,0,0,,,,,,
"(3V15) (657QD) Heartland Street, IL",902,894,99.11%,8,0.89%,814,55,25,5,1,0,2,3.24,2.27,0.78,,,
"(3V15) (657A4) Poplar Bluff, MO HCS","12,024","11,681",97.15%,343,2.85%,"10,571",506,604,316,20,6,1,2.08,8.10,3.27,,,
"(3V15) (657A4) Poplar Bluff, MO (John J. Pershing)","6,896","6,589",95.55%,307,4.45%,"5,775",342,472,282,19,5,1,3.27,8.44,3.40,,,
"(3V15) (657GF) West Plains, MO","1,278","1,269",99.30%,9,0.70%,"1,190",41,38,9,0,0,0,0.61,4.11,4.00,,,
"(3V15) (657GG) Paragould, AR",654,653,99.85%,1,0.15%,626,20,7,1,0,0,0,1.22,5.20,1.24,,,
"(3V15) (657GH) Cape Girardeau, MO","1,123","1,114",99.20%,9,0.80%,"1,055",38,21,9,0,0,0,1.43,3.44,3.38,,,
"(3V15) (657GI) Farmington, MO","1,382","1,369",99.06%,13,0.94%,"1,278",47,44,12,1,0,0,2.89,5.11,2.09,,,
"(3V15) (657GN) Salem, MO",58,58,100.00%,0,0.00%,58,0,0,0,0,0,0,0.32,,,,,
"(3V15) (657GV) Sikeston, MO",441,437,99.09%,4,0.91%,403,14,20,3,0,1,0,1.56,0.74,8.70,,,
"(3V15) (657GW) Pocahontas, AR",192,192,100.00%,0,0.00%,186,4,2,0,0,0,0,0.38,,3.24,,,
"(3V15) (657) St. Louis, MO HCS","37,698","35,792",94.94%,"1,906",5.06%,"30,727","2,206","2,859","1,393",357,88,68,6.35,8.01,3.09,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(3V15) (657) St. Louis-John Cochran, MO (John Cochran)","19,610","18,293",93.28%,"1,317",6.72%,"15,296","1,213","1,784",955,265,61,36,8.45,8.21,3.57,,,
"(3V15) (657A0) St. Louis-Jefferson Barracks, MO","10,165","9,806",96.47%,359,3.53%,"8,760",533,513,276,46,15,22,5.87,8.06,2.86,,,
"(3V15) (657GA) Shiloh, IL (St. Clair County)","1,053","1,018",96.68%,35,3.32%,878,59,81,27,4,3,1,4.75,4.18,5.15,,,
"(3V15) (657GB) St. Louis County, MO","1,091","1,081",99.08%,10,0.92%,996,48,37,6,0,0,4,4.32,2.94,1.44,,,
"(3V15) (657GD) St. Charles County- OFallon, MO","1,032","1,006",97.48%,26,2.52%,924,50,32,18,8,0,0,3.12,3.37,0.00,,,
"(3V15) (657GS) Washington, MO (Franklin County)",613,602,98.21%,11,1.79%,532,34,36,10,1,0,0,5.08,0.41,1.85,,,
"(3V15) (657GX) Washington Avenue, MO","1,172","1,147",97.87%,25,2.13%,"1,034",54,59,17,7,0,1,3.49,3.71,0.95,,,
"(3V15) (657GY) Manchester, MO",932,893,95.82%,39,4.18%,769,50,74,23,11,3,2,14.38,2.94,11.12,,,
(3V15) (657MA) IDES Scott AFB,25,25,100.00%,0,0.00%,25,0,0,0,0,0,0,,0.00,0.00,,,
"(3V15) (657QA) Olive Street, MO","1,479","1,401",94.73%,78,5.27%,"1,062",129,210,55,15,6,2,9.45,7.45,5.40,,,
"(3V15) (657QB) Washington Boulevard, MO",400,394,98.50%,6,1.50%,369,17,8,6,0,0,0,,,,,,
"(3V15) (657QE) Scott Air Force Base, IL",126,126,100.00%,0,0.00%,82,19,25,0,0,0,0,,5.56,6.19,,,
"(4V16) (502) Alexandria, LA HCS","18,074","17,107",94.65%,967,5.35%,"14,977",934,"1,196",690,176,61,40,4.22,9.90,6.17,,,
"(4V16) (502) Alexandria, LA","11,015","10,359",94.04%,656,5.96%,"9,092",513,754,489,103,35,29,4.08,10.03,6.30,,,
"(4V16) (502GA) Jennings, LA",526,523,99.43%,3,0.57%,465,38,20,1,1,0,1,3.00,1.60,3.51,,,
"(4V16) (502GB) Lafayette, LA","2,762","2,633",95.33%,129,4.67%,"2,214",230,189,71,30,22,6,5.00,13.30,0.26,,,
"(4V16) (502GE) Lake Charles, LA","1,411","1,343",95.18%,68,4.82%,"1,226",40,77,44,19,3,2,3.79,2.63,8.57,,,
"(4V16) (502GF) Fort Polk, LA",982,919,93.58%,63,6.42%,850,32,37,43,18,1,1,4.49,0.03,6.38,,,
"(4V16) (502GG) Natchitoches, LA",396,394,99.49%,2,0.51%,379,4,11,1,1,0,0,2.00,0.00,1.13,,,
"(4V16) (502QB) Lafayette Campus B, LA",982,936,95.32%,46,4.68%,751,77,108,41,4,0,1,,,6.85,,,
"(4V16) (520) Gulf Coast, MS HCS","38,288","36,199",94.54%,"2,089",5.46%,"32,010","2,069","2,120","1,360",433,163,133,6.58,6.40,6.13,,,
"(4V16) (520) Biloxi, MS","16,577","15,875",95.77%,702,4.23%,"14,208",796,871,503,108,47,44,6.26,5.81,4.59,,,
"(4V16) (520BZ) Pensacola, FL","12,237","11,310",92.42%,927,7.58%,"9,680",822,808,584,220,70,53,9.58,7.21,6.00,,,
"(4V16) (520GA) Mobile, AL","4,313","4,152",96.27%,161,3.73%,"3,798",187,167,94,35,12,20,7.64,3.45,2.56,,,
"(4V16) (520GB) Panama City Beach, FL","1,879","1,743",92.76%,136,7.24%,"1,559",89,95,75,34,24,3,3.91,14.93,3.54,,,
"(4V16) (520GC) Eglin Air Force Base, FL","2,534","2,457",96.96%,77,3.04%,"2,189",144,124,65,10,0,2,3.14,4.23,9.67,,,
"(4V16) (520QA) Panama City Beach West, FL",748,662,88.50%,86,11.50%,576,31,55,39,26,10,11,,9.22,14.99,,,
"(4V16) (564) Fayetteville, AR HCS","28,701","27,800",96.86%,901,3.14%,"25,047","1,261","1,492",755,101,34,11,2.61,6.67,3.38,,,
"(4V16) (564) Fayetteville, AR","14,319","13,686",95.58%,633,4.42%,"12,116",679,891,541,65,22,5,2.48,8.12,2.97,,,
"(4V16) (564BY) Mount Vernon, MO (Gene Taylor)","5,285","5,162",97.67%,123,2.33%,"4,667",267,228,97,19,3,4,2.74,3.95,5.64,,,
"(4V16) (564GA) Harrison, AR",238,238,100.00%,0,0.00%,221,14,3,0,0,0,0,1.76,,,,,
"(4V16) (564GB) Fort Smith, AR","3,755","3,700",98.54%,55,1.46%,"3,481",110,109,47,4,3,1,2.30,4.72,4.04,,,
"(4V16) (564GC) Branson, MO","2,812","2,760",98.15%,52,1.85%,"2,544",99,117,41,8,2,1,4.13,3.51,1.44,,,
"(4V16) (564GD) Ozark, AR",414,406,98.07%,8,1.93%,370,18,18,4,2,2,0,2.14,2.50,6.33,,,
"(4V16) (564GE) Jay, OK",580,580,100.00%,0,0.00%,569,6,5,0,0,0,0,0.55,1.03,0.60,,,
"(4V16) (564QA) Township, AR",463,463,100.00%,0,0.00%,463,0,0,0,0,0,0,,,,,,
"(4V16) (564QB) Sunbridge, AR",835,805,96.41%,30,3.59%,616,68,121,25,3,2,0,,7.79,,,,
"(4V16) (580) Houston, TX HCS","71,772","69,836",97.30%,"1,936",2.70%,"63,742","2,913","3,181","1,490",313,57,76,2.71,4.39,2.19,,,
"(4V16) (580) Houston, TX (Michael E. DeBakey)","47,342","45,893",96.94%,"1,449",3.06%,"41,382","2,039","2,472","1,138",233,47,31,3.03,4.46,2.25,,,
"(4V16) (580BY) Beaumont, TX","3,273","3,194",97.59%,79,2.41%,"2,997",116,81,55,18,3,3,3.45,2.78,1.89,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(4V16) (580BZ) Lufkin, TX (Charles Wilson)","2,423","2,310",95.34%,113,4.66%,"2,030",160,120,70,15,3,25,3.55,17.00,2.39,,,
"(4V16) (580GC) Galveston, TX",724,717,99.03%,7,0.97%,688,18,11,6,1,0,0,1.41,0.00,1.36,,,
"(4V16) (580GD) Conroe, TX","4,476","4,409",98.50%,67,1.50%,"4,101",169,139,54,8,1,4,2.25,2.02,2.17,,,
"(4V16) (580GE) Katy, TX","3,303","3,254",98.52%,49,1.48%,"3,070",107,77,45,4,0,0,1.73,2.88,1.65,,,
"(4V16) (580GF) Lake Jackson, TX","1,012","1,005",99.31%,7,0.69%,926,39,40,5,1,1,0,2.07,0.00,3.13,,,
"(4V16) (580GG) Richmond, TX","2,490","2,447",98.27%,43,1.73%,"2,239",97,111,34,5,2,2,3.62,2.97,2.62,,,
"(4V16) (580GH) Tomball, TX","3,783","3,713",98.15%,70,1.85%,"3,547",96,70,52,14,0,4,1.48,2.70,2.49,,,
"(4V16) (580GJ) Texas City, TX","2,946","2,894",98.23%,52,1.77%,"2,762",72,60,31,14,0,7,2.02,5.63,1.72,,,
"(4V16) (586) Jackson, MS HCS","23,857","22,668",95.02%,"1,189",4.98%,"20,542",945,"1,181",895,194,56,44,4.14,7.85,2.32,,,
"(4V16) (586) Jackson, MS (G.V.
(Sonny) Montgomery)","19,283","18,329",95.05%,954,4.95%,"16,730",702,897,742,146,32,34,4.38,7.30,1.95,,,
"(4V16) (586GA) Kosciusko, MS",415,365,87.95%,50,12.05%,321,18,26,22,19,9,0,9.57,,10.87,,,
"(4V16) (586GB) Meridian, MS",574,558,97.21%,16,2.79%,488,51,19,14,1,0,1,2.73,10.67,10.01,,,
"(4V16) (586GC) Greenville, MS",469,443,94.46%,26,5.54%,379,37,27,19,4,1,2,4.40,25.80,8.06,,,
"(4V16) (586GD) Hattiesburg, MS","1,257","1,220",97.06%,37,2.94%,"1,133",24,63,33,3,1,0,2.93,26.14,0.55,,,
"(4V16) (586GE) Natchez, MS",400,396,99.00%,4,1.00%,373,11,12,2,2,0,0,1.40,17.33,2.30,,,
"(4V16) (586GF) Columbus, MS",423,415,98.11%,8,1.89%,377,20,18,4,1,2,1,2.79,47.33,2.88,,,
"(4V16) (586GG) McComb, MS",458,445,97.16%,13,2.84%,374,33,38,7,4,2,0,4.69,45.75,3.12,,,
"(4V16) (586QB) Dogwood View Parkway, MS",568,487,85.74%,81,14.26%,357,49,81,52,14,9,6,,13.99,,,,
"(4V16) (586QC) Lakeland Drive, MS",10,10,100.00%,0,0.00%,10,0,0,0,0,0,0,,,,,,
"(4V16) (598) Little Rock, AR HCS","41,952","40,151",95.71%,"1,801",4.29%,"35,801","2,037","2,313","1,167",414,122,98,4.44,7.67,2.89,,,
"(4V16) (598) Little Rock, AR (John L. McClellan)","16,066","15,140",94.24%,926,5.76%,"13,153",834,"1,153",623,207,48,48,9.28,7.49,7.39,,,
"(4V16) (598A0) North Little Rock, AR (Eugene J. Towbin Healthcare Center)","17,370","16,751",96.44%,619,3.56%,"15,192",809,750,346,171,60,42,4.76,8.48,2.20,,,
"(4V16) (598GA) Mountain Home, AR",987,978,99.09%,9,0.91%,901,44,33,9,0,0,0,1.90,8.17,2.26,,,
"(4V16) (598GB) El Dorado, AR",882,873,98.98%,9,1.02%,847,15,11,7,1,1,0,1.33,1.74,4.09,,,
"(4V16) (598GC) Hot Springs, AR","1,920","1,867",97.24%,53,2.76%,"1,674",76,117,44,4,5,0,2.60,4.39,6.79,,,
"(4V16) (598GD) Mena, AR",454,453,99.78%,1,0.22%,406,25,22,1,0,0,0,2.98,1.00,1.32,,,
"(4V16) (598GE) Pine Bluff, AR","1,046","1,035",98.95%,11,1.05%,930,56,49,9,0,2,0,4.14,0.93,2.43,,,
"(4V16) (598GF) Searcy, AR",834,800,95.92%,34,4.08%,748,22,30,29,3,1,1,3.79,3.00,5.73,,,
"(4V16) (598GG) Conway, AR","1,735","1,608",92.68%,127,7.32%,"1,345",129,134,94,24,4,5,9.13,8.39,2.14,,,
"(4V16) (598GH) Russellville, AR",658,646,98.18%,12,1.82%,605,27,14,5,4,1,2,2.87,3.46,5.63,,,
"(4V16) (629) New Orleans, LA HCS","39,513","36,730",92.96%,"2,783",7.04%,"32,101","2,219","2,410","1,618",680,293,192,5.63,10.13,5.74,,,
"(4V16) (629) New Orleans, LA","27,410","25,051",91.39%,"2,359",8.61%,"21,665","1,540","1,846","1,308",622,266,163,6.44,11.37,5.97,,,
"(4V16) (629BY) Baton Rouge, LA","4,405","4,188",95.07%,217,4.93%,"3,724",258,206,164,31,10,12,5.99,5.62,4.05,,,
"(4V16) (629GA) Houma, LA",885,846,95.59%,39,4.41%,757,49,40,22,9,3,5,2.95,2.03,13.46,,,
"(4V16) (629GB) Hammond, LA","2,054","1,991",96.93%,63,3.07%,"1,683",188,120,48,2,12,1,4.81,7.50,3.78,,,
"(4V16) (629GC) Slidell, LA","1,402","1,381",98.50%,21,1.50%,"1,279",49,53,10,5,1,5,6.31,2.83,0.30,,,
"(4V16) (629GD) St. John, LA",654,652,99.69%,2,0.31%,607,27,18,1,0,0,1,3.30,0.29,1.84,,,
"(4V16) (629GE) Franklin, LA",253,251,99.21%,2,0.79%,240,7,4,1,0,0,1,4.37,0.00,1.59,,,
"(4V16) (629GF) Bogalusa, LA",311,301,96.78%,10,3.22%,285,11,5,9,1,0,0,0.50,0.00,5.23,,,
"(4V16) (629QA) Baton Rouge South, LA","2,139","2,069",96.73%,70,3.27%,"1,861",90,118,55,10,1,4,,4.49,6.99,,,
"(4V16) (667) Shreveport, LA HCS","20,470","19,316",94.36%,"1,154",5.64%,"17,269",901,"1,146",729,224,108,93,4.49,7.79,3.40,,,
"(4V16) (667) Shreveport, LA (Overton Brooks)","15,335","14,306",93.29%,"1,029",6.71%,"12,621",725,960,641,205,98,85,5.36,8.67,2.67,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(4V16) (667GA) Texarkana, AR","1,685","1,628",96.62%,57,3.38%,"1,480",65,83,41,10,5,1,4.99,0.43,3.49,,,
"(4V16) (667GB) Monroe, LA","1,529","1,508",98.63%,21,1.37%,"1,405",59,44,14,4,0,3,3.04,0.15,2.13,,,
"(4V16) (667GC) Longview, TX","1,738","1,691",97.30%,47,2.70%,"1,580",52,59,33,5,5,4,3.04,0.30,7.81,,,
"(4V16) (667QA) Knight Street, LA",183,183,100.00%,0,0.00%,183,0,0,0,0,0,0,,0.00,,,,
"(4V17) (549) Dallas, TX HCS","71,362","66,468",93.14%,"4,894",6.86%,"58,529","3,658","4,281","3,297",999,330,268,6.55,10.37,4.22,,,
"(4V17) (549) Dallas, TX","41,985","38,949",92.77%,"3,036",7.23%,"34,543","1,754","2,652","1,983",643,215,195,7.50,11.51,3.07,,,
"(4V17) (549A4) Bonham, TX (Sam
Rayburn Center)","6,116","5,841",95.50%,275,4.50%,"5,168",384,289,231,23,16,5,3.41,7.92,1.96,,,
"(4V17) (549BY) Fort Worth, TX","14,270","13,090",91.73%,"1,180",8.27%,"11,251",898,941,818,257,71,34,7.30,7.64,6.33,,,
"(4V17) (549GD) Denton, TX","1,633","1,594",97.61%,39,2.39%,"1,274",196,124,33,4,0,2,5.74,27.00,2.84,,,
"(4V17) (549GE) Bridgeport, TX",337,324,96.14%,13,3.86%,278,34,12,7,5,1,0,4.46,34.50,6.26,,,
"(4V17) (549GF) Granbury, TX",342,335,97.95%,7,2.05%,291,34,10,3,1,3,0,4.16,,4.75,,,
"(4V17) (549GH) Greenville, TX",574,555,96.69%,19,3.31%,526,17,12,8,7,4,0,1.50,44.21,18.29,,,
"(4V17) (549GJ) Sherman, TX",874,845,96.68%,29,3.32%,694,119,32,26,3,0,0,5.50,4.25,1.91,,,
