facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(3V15) (589BX) Columbia, MO - VADOM",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,
"(3V15) (589G8) Jefferson City, MO","2,052","1,974",96.20%,78,3.80%,"1,826",90,58,30,18,16,14,0.99,13.97,7.48,,
"(3V15) (589GE) Kirksville, MO",678,673,99.26%,5,0.74%,627,32,14,5,0,0,0,1.79,2.26,3.10,,
"(3V15) (589GF) Waynesville, MO","1,131","1,031",91.16%,100,8.84%,927,56,48,79,20,1,0,3.93,9.32,12.14,,
"(3V15) (589GH) Lake of the Ozarks, MO",775,753,97.16%,22,2.84%,712,18,23,9,5,7,1,1.40,21.17,11.68,,
"(3V15) (589GX) Mexico, MO",622,618,99.36%,4,0.64%,578,22,18,4,0,0,0,1.61,1.64,2.55,,
"(3V15) (589GY) St. James, MO",887,840,94.70%,47,5.30%,782,33,25,18,17,3,9,5.81,5.77,7.31,,
"(3V15) (589JA) Sedalia, MO","1,043","1,039",99.62%,4,0.38%,980,38,21,4,0,0,0,1.23,2.39,3.69,,
"(3V15) (589JD) Marshfield, MO","1,269","1,238",97.56%,31,2.44%,"1,180",37,21,5,5,21,0,0.73,16.06,6.02,,
"(3V15) (589) Kansas City, MO HCS","37,455","36,416",97.23%,"1,039",2.77%,"33,608","1,240","1,568",715,184,75,65,1.35,5.88,1.27,,
"(3V15) (589) Kansas City, MO","23,252","22,302",95.91%,950,4.09%,"20,002",973,"1,327",659,177,67,47,1.72,6.27,1.27,,
"(3V15) (589JB) Excelsior Springs, MO",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,1.47,6.09,4.81,,
"(3V15) (589G1) Warrensburg, MO","1,429","1,420",99.37%,9,0.63%,"1,343",44,33,4,2,1,2,1.34,2.58,1.92,,
"(3V15) (589GB) Belton, MO",741,724,97.71%,17,2.29%,652,35,37,10,1,2,4,5.93,7.67,0.59,,
"(3V15) (589GC) Paola, KS",293,287,97.95%,6,2.05%,255,17,15,5,0,0,1,4.80,7.00,0.52,,
"(3V15) (589GD) Nevada, MO",470,468,99.57%,2,0.43%,456,8,4,1,1,0,0,0.33,1.40,0.36,,
"(3V15) (589GZ) Cameron, MO",201,194,96.52%,7,3.48%,180,7,7,4,1,0,2,5.72,0.00,2.33,,
"(3V15) (589JB) Excelsior Springs, MO",744,731,98.25%,13,1.75%,690,24,17,11,0,0,2,4.09,10.33,0.37,,
"(3V15) (589JC) Shawnee, KS",999,991,99.20%,8,0.80%,933,25,33,7,0,1,0,1.73,11.52,0.00,,
"(3V15) (589JF) Honor, MO","8,708","8,682",99.70%,26,0.30%,"8,492",99,91,13,2,4,7,0.54,11.18,1.48,,
"(3V15) (589QA) Overland Park, KS",615,614,99.84%,1,0.16%,602,8,4,1,0,0,0,,0.59,0.00,,
(3V15) (589A5) Eastern Kansas HCS,"28,190","27,210",96.52%,980,3.48%,"24,753","1,209","1,248",658,158,58,106,1.76,10.12,2.56,,
"(3V15) (589A5) Topeka, KS
(Colmery-ONeil)","13,463","13,020",96.71%,443,3.29%,"11,854",523,643,297,70,26,50,1.87,10.68,1.63,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(3V15) (589A6) Leavenworth, KS (Dwight D. Eisenhower)","10,947","10,525",96.15%,422,3.85%,"9,550",538,437,261,78,27,56,1.22,9.98,4.09,,
"(3V15) (589BU) Leavenworth, KS - VADOM",32,32,100.00%,0,0.00%,32,0,0,0,0,0,0,,,0.00,,
"(3V15) (589GI) St. Joseph, MO","1,009","1,001",99.21%,8,0.79%,959,16,26,6,1,1,0,1.10,3.17,3.30,,
"(3V15) (589GJ) Wyandotte County, KS",292,290,99.32%,2,0.68%,263,19,8,1,0,1,0,3.31,,2.01,,
"(3V15) (589GM) Chanute, KS",54,54,100.00%,0,0.00%,49,3,2,0,0,0,0,2.08,,1.40,,
"(3V15) (589GP) Garnett, KS",22,22,100.00%,0,0.00%,22,0,0,0,0,0,0,1.11,,0.00,,
"(3V15) (589GR) Junction City, KS (Lieutenant General Richard J. Seitz- Based)","1,607","1,519",94.52%,88,5.48%,"1,335",79,105,77,8,3,0,4.29,7.93,2.65,,
"(3V15) (589GU) Lawrence, KS",350,348,99.43%,2,0.57%,313,20,15,2,0,0,0,3.27,1.14,2.13,,
"(3V15) (589GV) Fort Scott, KS",120,118,98.33%,2,1.67%,116,0,2,2,0,0,0,0.56,,4.29,,
"(3V15) (589JE) Platte City, MO",294,281,95.58%,13,4.42%,260,11,10,12,1,0,0,3.74,,3.38,,
"(3V15) (589A7) Wichita, KS HCS","21,817","21,179",97.08%,638,2.92%,"19,452",812,915,416,154,39,29,1.39,6.05,4.42,,
"(3V15) (589A7) Wichita, KS (Robert J. Dole)","17,329","16,784",96.85%,545,3.15%,"15,254",718,812,360,131,33,21,1.47,6.09,4.81,,
"(3V15) (589G2) Dodge City, KS",497,497,100.00%,0,0.00%,489,4,4,0,0,0,0,0.47,0.00,1.14,,
"(3V15) (589G4) Hays, KS",548,531,96.90%,17,3.10%,496,23,12,10,5,0,2,4.25,0.78,0.96,,
"(3V15) (589G5) Parsons, KS",550,547,99.45%,3,0.55%,531,7,9,3,0,0,0,0.87,0.83,3.08,,
"(3V15) (589G7) Hutchinson, KS",741,736,99.33%,5,0.67%,723,6,7,3,1,0,1,0.76,0.00,1.25,,
"(3V15) (589GW) Salina, KS","1,196","1,190",99.50%,6,0.50%,"1,141",31,18,5,0,1,0,0.72,2.91,3.83,,
"(3V15) (589QB) Sedgwick County, KS",11,11,100.00%,0,0.00%,11,0,0,0,0,0,0,,,,,
"(3V15) (589QC) South Parklane, KS",945,883,93.44%,62,6.56%,807,23,53,35,17,5,5,,6.21,,,
"(3V15) (657A5) Marion, IL HCS","19,817","19,371",97.75%,446,2.25%,"17,496",987,888,244,83,31,88,1.72,8.67,2.47,,
"(3V15) (657A5) Marion, IL","8,325","8,135",97.72%,190,2.28%,"7,525",293,317,102,23,15,50,0.49,9.05,0.55,,
(3V15) (657BW) Marion MH-RRTP,49,49,100.00%,0,0.00%,47,1,1,0,0,0,0,,,0.52,,
"(3V15) (657GJ) Evansville, IN","6,300","6,139",97.44%,161,2.56%,"5,383",379,377,83,45,10,23,0.91,8.28,5.42,,
"(3V15) (657GK) Mount Vernon, IL",588,583,99.15%,5,0.85%,518,47,18,5,0,0,0,1.83,0.00,3.97,,
"(3V15) (657GL) Paducah, KY",883,876,99.21%,7,0.79%,782,60,34,4,1,1,1,2.94,0.00,2.79,,
"(3V15) (657GM) Effingham, IL",511,499,97.65%,12,2.35%,451,29,19,12,0,0,0,3.01,5.33,1.54,,
"(3V15) (657GO) Madisonville, KY",151,151,100.00%,0,0.00%,136,12,3,0,0,0,0,3.10,,,,
"(3V15) (657GP) Owensboro, KY",468,442,94.44%,26,5.56%,362,46,34,4,6,4,12,12.59,3.00,2.66,,
"(3V15) (657GQ) Vincennes, IN",467,455,97.43%,12,2.57%,396,35,24,8,4,0,0,7.67,0.00,1.83,,
"(3V15) (657GR) Mayfield, KY",384,384,100.00%,0,0.00%,355,17,12,0,0,0,0,0.98,0.00,3.30,,
"(3V15) (657GT) Carbondale, IL",578,575,99.48%,3,0.52%,562,11,2,3,0,0,0,1.23,0.00,1.19,,
"(3V15) (657GU) Harrisburg, IL",240,240,100.00%,0,0.00%,221,15,4,0,0,0,0,1.99,,1.44,,
"(3V15) (657QD) Heartland Street, IL",873,843,96.56%,30,3.44%,758,42,43,23,4,1,2,5.67,3.58,1.23,,
"(3V15) (657A4) Poplar Bluff, MO HCS","11,805","11,421",96.75%,384,3.25%,"10,582",463,376,179,96,43,66,1.70,14.76,2.97,,
"(3V15) (657A4) Poplar Bluff, MO (John J. Pershing)","6,948","6,661",95.87%,287,4.13%,"6,165",264,232,134,71,28,54,1.36,16.41,1.82,,
"(3V15) (657GF) West Plains, MO",981,969,98.78%,12,1.22%,865,73,31,6,3,1,2,1.52,5.99,3.85,,
"(3V15) (657GG) Paragould, AR",443,432,97.52%,11,2.48%,397,19,16,2,4,1,4,2.31,21.83,1.92,,
"(3V15) (657GH) Cape Girardeau, MO","1,323","1,277",96.52%,46,3.48%,"1,192",42,43,22,16,7,1,2.82,0.00,4.14,,
"(3V15) (657GI) Farmington, MO","1,393","1,380",99.07%,13,0.93%,"1,300",45,35,9,0,1,3,1.52,3.38,4.92,,
"(3V15) (657GV) Sikeston, MO",543,529,97.42%,14,2.58%,492,20,17,6,2,4,2,4.11,3.72,1.92,,
"(3V15) (657GW) Pocahontas, AR",174,173,99.43%,1,0.57%,171,0,2,0,0,1,0,0.71,13.11,1.32,,
"(3V15) (657) St. Louis, MO HCS","43,156","40,600",94.08%,"2,556",5.92%,"36,555","1,786","2,259","1,200",408,213,735,12.05,10.73,3.08,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(3V15) (657) St. Louis John Cochran, MO (John Cochran)","17,171","15,842",92.26%,"1,329",7.74%,"14,001",791,"1,050",604,200,87,438,4.33,18.57,1.49,,
"(3V15) (657GY) Manchester Avenue, MO",1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,4.33,18.57,1.49,,
"(3V15) (657A0) St. Louis Jefferson Barracks, MO",42,42,100.00%,0,0.00%,42,0,0,0,0,0,0,4.33,18.57,1.49,,
"(3V15) (657A0) St. Louis Jefferson Barracks, MO","15,076","14,262",94.60%,814,5.40%,"12,881",602,779,389,133,83,209,15.38,8.55,3.65,,
"(3V15) (657GA) St. Clair County, IL","1,144",972,84.97%,172,15.03%,811,61,100,82,29,19,42,27.88,20.22,0.60,,
"(3V15) (657GB) St. Louis County, MO","1,035","1,014",97.97%,21,2.03%,936,34,44,14,4,2,1,3.27,1.75,3.10,,
"(3V15) (657GD) St. Charles County, MO",989,945,95.55%,44,4.45%,844,42,59,20,5,6,13,11.06,6.86,0.38,,
"(3V15) (657GS) Franklin County, MO",598,550,91.97%,48,8.03%,505,25,20,22,24,2,0,7.11,4.30,0.16,,
"(3V15) (657) St. Louis John Cochran, MO (John Cochran)",77,77,100.00%,0,0.00%,72,3,2,0,0,0,0,2.29,0.53,4.00,,
"(3V15) (657GX) Washington Avenue, MO","4,545","4,538",99.85%,7,0.15%,"4,427",75,36,6,1,0,0,2.29,0.53,4.00,,
"(3V15) (657GY) Manchester Avenue, MO",890,812,91.24%,78,8.76%,707,52,53,34,10,12,22,15.04,16.50,0.31,,
(3V15) (657PD) St Louis SARRTP,154,154,100.00%,0,0.00%,154,0,0,0,0,0,0,,,,,
"(3V15) (657QA) Olive Street, MO","1,234","1,191",96.52%,43,3.48%,994,89,108,29,2,2,10,2.46,8.42,0.46,,
"(3V15) (657QB) Washington Boulevard, MO",195,195,100.00%,0,0.00%,176,12,7,0,0,0,0,,,,,
"(3V15) (657QE) Scott Air Force Base, IL",5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,0.00,,,
"(4V16) (502) Alexandria, LA HCS","16,695","15,797",94.62%,898,5.38%,"14,565",621,611,426,188,84,200,8.16,5.19,7.01,,
"(4V16) (502) Alexandria, LA","10,143","9,618",94.82%,525,5.18%,"9,011",300,307,230,99,45,151,8.87,5.91,5.52,,
"(4V16) (502GA) Jennings, LA",344,329,95.64%,15,4.36%,302,21,6,2,2,0,11,0.45,0.33,2.53,,
"(4V16) (502GB) Lafayette, LA","2,871","2,717",94.64%,154,5.36%,"2,449",138,130,80,34,22,18,8.76,4.54,4.42,,
"(4V16) (502GE) Lake Charles, LA (Douglas Fournet)","1,102","1,043",94.65%,59,5.35%,981,38,24,18,22,12,7,13.72,0.41,3.02,,
"(4V16) (502GF) Fort Polk, LA","1,112","1,074",96.58%,38,3.42%,953,62,59,27,7,1,3,5.32,1.63,11.58,,
"(4V16) (502GG) Natchitoches, LA",359,359,100.00%,0,0.00%,337,12,10,0,0,0,0,1.27,0.19,2.88,,
"(4V16) (502QB) Lafayette Campus B, LA",764,657,85.99%,107,14.01%,532,50,75,69,24,4,10,,,11.91,,
"(4V16) (520) Gulf Coast, MS HCS","40,240","38,383",95.39%,"1,857",4.61%,"33,834","2,403","2,146","1,008",308,232,309,3.20,13.00,4.60,,
"(4V16) (520) Biloxi, MS","16,965","16,234",95.69%,731,4.31%,"14,569",839,826,384,122,72,153,2.68,12.70,4.31,,
"(4V16) (520BZ) Pensacola, FL","13,915","13,118",94.27%,797,5.73%,"11,049","1,126",943,456,132,123,86,4.26,11.78,6.59,,
"(4V16) (520GA) Mobile, AL","4,410","4,229",95.90%,181,4.10%,"3,891",171,167,74,33,20,54,1.81,21.94,3.13,,
"(4V16) (520GB) Panama City Beach, FL","1,679","1,656",98.63%,23,1.37%,"1,550",59,47,9,4,5,5,1.96,20.76,0.92,,
"(4V16) (520GC) Eglin Air Force Base, FL","2,439","2,324",95.28%,115,4.72%,"2,027",181,116,76,16,12,11,3.80,4.07,5.77,,
"(4V16) (520QA) Panama City Beach West, FL",832,822,98.80%,10,1.20%,748,27,47,9,1,0,0,,2.96,2.85,,
"(4V16) (564) Fayetteville, AR HCS","33,764","32,828",97.23%,936,2.77%,"30,519","1,091","1,218",557,173,90,116,5.01,2.90,2.10,,
"(4V16) (564) Fayetteville, AR","17,326","16,823",97.10%,503,2.90%,"15,674",502,647,307,77,50,69,3.59,3.18,1.06,,
"(4V16) (564BY) Springfield, MO (Gene Taylor)","6,202","6,081",98.05%,121,1.95%,"5,600",248,233,78,22,6,15,3.86,2.52,3.09,,
"(4V16) (564GA) Harrison, AR",384,379,98.70%,5,1.30%,332,31,16,3,1,0,1,4.82,,8.67,,
"(4V16) (564GB) Fort Smith, AR","2,903","2,793",96.21%,110,3.79%,"2,551",116,126,55,32,14,9,7.63,1.47,3.13,,
"(4V16) (564GC) Branson, MO","2,551","2,470",96.82%,81,3.18%,"2,313",74,83,39,25,8,9,3.95,3.75,3.41,,
"(4V16) (564GD) Ozark, AR",480,442,92.08%,38,7.92%,395,14,33,33,2,1,2,4.02,0.00,13.88,,
"(4V16) (564GE) Jay, OK",737,735,99.73%,2,0.27%,720,14,1,1,0,1,0,1.26,0.17,0.73,,
"(4V16) (564GF) Joplin, MO","2,457","2,400",97.68%,57,2.32%,"2,259",78,63,25,12,9,11,8.20,0.56,1.49,,
"(4V16) (564QA) Township, AR",320,320,100.00%,0,0.00%,320,0,0,0,0,0,0,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(4V16) (564QB) Sunbridge, AR",404,385,95.30%,19,4.70%,355,14,16,16,2,1,0,,4.09,,,
"(4V16) (580) Houston, TX HCS","74,165","72,000",97.08%,"2,165",2.92%,"67,660","2,138","2,202","1,210",521,222,212,3.72,3.14,2.27,,
"(4V16) (580) Houston, TX (Michael E. DeBakey)","52,783","51,174",96.95%,"1,609",3.05%,"48,255","1,350","1,569",888,394,172,155,3.12,3.16,2.72,,
"(4V16) (580BY) Beaumont, TX","2,526","2,438",96.52%,88,3.48%,"2,290",79,69,33,25,22,8,7.30,2.35,0.58,,
"(4V16) (580BZ) Lufkin, TX (Charles Wilson)","1,320","1,211",91.74%,109,8.26%,"1,083",70,58,49,40,16,4,12.82,5.82,2.83,,
"(4V16) (580GC) Galveston County, TX",563,550,97.69%,13,2.31%,504,32,14,13,0,0,0,4.46,0.00,0.79,,
"(4V16) (580GD) Conroe, TX","3,848","3,745",97.32%,103,2.68%,"3,439",163,143,59,24,6,14,2.46,3.46,1.48,,
"(4V16) (580GE) Katy, TX","3,819","3,768",98.66%,51,1.34%,"3,611",70,87,30,10,3,8,1.63,1.90,1.82,,
"(4V16) (580GF) Lake Jackson, TX","1,166","1,152",98.80%,14,1.20%,"1,074",50,28,11,2,0,1,1.57,,4.21,,
"(4V16) (580GG) Richmond, TX","2,079","2,036",97.93%,43,2.07%,"1,824",125,87,34,2,1,6,4.87,3.37,3.21,,
"(4V16) (580GH) Tomball, TX","3,558","3,457",97.16%,101,2.84%,"3,246",110,101,69,19,2,11,2.32,3.59,0.51,,
"(4V16) (580GJ) Texas City, TX","2,278","2,245",98.55%,33,1.45%,"2,123",81,41,24,5,0,4,1.32,2.96,1.33,,
"(4V16) (580GL) Sugar Land, TX",225,224,99.56%,1,0.44%,211,8,5,0,0,0,1,5.71,0.00,0.10,,
"(4V16) (586) Jackson, MS HCS","24,257","23,356",96.29%,901,3.71%,"21,586",823,947,511,179,52,159,2.15,10.82,1.59,,
"(4V16) (586) Jackson, MS (G.V.
(Sonny) Montgomery)","19,433","18,678",96.11%,755,3.89%,"17,307",624,747,411,160,41,143,2.21,11.12,1.22,,
"(4V16) (586GA) Kosciusko, MS",456,434,95.18%,22,4.82%,384,18,32,16,5,0,1,5.23,,2.68,,
"(4V16) (586GB) Meridian, MS",664,661,99.55%,3,0.45%,648,6,7,1,1,1,0,0.49,54.50,2.92,,
"(4V16) (586GC) Greenville, MS",476,475,99.79%,1,0.21%,421,35,19,1,0,0,0,1.38,21.00,2.73,,
"(4V16) (586GD) Hattiesburg, MS","1,564","1,504",96.16%,60,3.84%,"1,384",62,58,30,7,8,15,2.17,27.29,2.70,,
"(4V16) (586GE) Natchez, MS",231,231,100.00%,0,0.00%,219,8,4,0,0,0,0,0.79,13.50,0.00,,
"(4V16) (586GF) Columbus, MS",533,521,97.75%,12,2.25%,473,18,30,11,1,0,0,1.79,2.00,8.03,,
"(4V16) (586GG) McComb, MS",407,405,99.51%,2,0.49%,391,12,2,2,0,0,0,0.68,,0.00,,
"(4V16) (586QB) Dogwood View Parkway, MS",493,447,90.67%,46,9.33%,359,40,48,39,5,2,0,,7.86,,,
"(4V16) (598) Little Rock, AR HCS","33,403","31,681",94.84%,"1,722",5.16%,"29,074","1,345","1,262",819,363,232,308,4.04,7.52,3.98,,
"(4V16) (598) Little Rock, AR (John L. McClellan)","15,717","14,718",93.64%,999,6.36%,"13,651",470,597,476,241,134,148,0.60,7.13,1.51,,
"(4V16) (598A0) North Little Rock, AR (Eugene J. Towbin Healthcare Center)","9,514","9,117",95.83%,397,4.17%,"8,288",421,408,175,73,49,100,4.23,8.17,4.98,,
"(4V16) (598GA) Mountain Home, AR","1,427","1,314",92.08%,113,7.92%,"1,197",59,58,39,14,17,43,8.83,5.87,7.28,,
"(4V16) (598GB) El Dorado, AR",541,538,99.45%,3,0.55%,531,3,4,2,0,1,0,2.06,0.81,1.35,,
"(4V16) (598GC) Hot Springs, AR","1,903","1,843",96.85%,60,3.15%,"1,646",137,60,31,10,7,12,2.69,10.43,2.26,,
"(4V16) (598GD) Mena, AR",558,550,98.57%,8,1.43%,502,24,24,7,1,0,0,4.50,2.20,2.09,,
"(4V16) (598GE) Pine Bluff, AR",597,577,96.65%,20,3.35%,537,18,22,15,4,1,0,3.67,0.69,11.49,,
"(4V16) (598GF) Searcy, AR","1,120","1,103",98.48%,17,1.52%,978,100,25,14,3,0,0,0.56,6.61,2.05,,
"(4V16) (598GG) Conway, AR","1,383","1,280",92.55%,103,7.45%,"1,131",98,51,58,17,23,5,5.18,12.16,4.98,,
"(4V16) (598GH) Russellville, AR",643,641,99.69%,2,0.31%,613,15,13,2,0,0,0,1.33,1.48,0.72,,
"(4V16) (629) New Orleans, LA HCS","49,526","47,462",95.83%,"2,064",4.17%,"42,909","2,216","2,337","1,106",406,162,390,4.35,5.85,4.26,,
"(4V16) (629) New Orleans, LA","35,930","34,144",95.03%,"1,786",4.97%,"30,910","1,570","1,664",954,368,126,338,5.22,6.61,4.56,,
"(4V16) (629BY) Baton Rouge, LA","5,861","5,686",97.01%,175,2.99%,"5,367",165,154,71,28,33,43,3.76,3.33,4.05,,
"(4V16) (629GA) Houma, LA","1,097","1,092",99.54%,5,0.46%,"1,003",48,41,5,0,0,0,1.44,0.62,3.75,,
"(4V16) (629GB) Hammond, LA","2,011","1,993",99.10%,18,0.90%,"1,766",123,104,14,1,0,3,4.19,1.99,2.85,,
"(4V16) (629GC) Slidell, LA","1,966","1,938",98.58%,28,1.42%,"1,755",76,107,22,3,1,2,0.07,1.82,2.85,,
"(4V16) (629GD) St. John, LA",543,542,99.82%,1,0.18%,454,56,32,1,0,0,0,5.89,0.25,0.00,,
"(4V16) (629GE) Franklin, LA",222,210,94.59%,12,5.41%,171,16,23,4,2,2,4,13.73,,10.33,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(4V16) (629GF) Bogalusa, LA",339,339,100.00%,0,0.00%,323,9,7,0,0,0,0,2.22,0.00,0.70,,
"(4V16) (629QA) Baton Rouge South, LA","1,557","1,518",97.50%,39,2.50%,"1,160",153,205,35,4,0,0,,8.12,4.38,,
"(4V16) (667) Shreveport, LA HCS","21,361","20,345",95.24%,"1,016",4.76%,"18,815",777,753,513,152,57,294,2.40,15.28,6.02,,
"(4V16) (667) Shreveport, LA (Overton Brooks)","15,558","14,834",95.35%,724,4.65%,"13,594",615,625,301,96,48,279,1.01,16.25,3.52,,
"(4V16) (667GA) Texarkana, AR","1,825","1,730",94.79%,95,5.21%,"1,609",69,52,73,11,5,6,3.68,3.18,14.72,,
"(4V16) (667GB) Monroe, LA","1,924","1,915",99.53%,9,0.47%,"1,831",58,26,7,2,0,0,1.59,0.71,3.18,,
"(4V16) (667GC) Longview, TX","2,021","1,833",90.70%,188,9.30%,"1,748",35,50,132,43,4,9,7.74,3.07,14.96,,
"(4V16) (667QA) Knight Street, LA",33,33,100.00%,0,0.00%,33,0,0,0,0,0,0,,0.00,,,
"(4V17) (549) Dallas, TX HCS","65,557","61,690",94.10%,"3,867",5.90%,"55,354","2,946","3,390","1,983",900,471,513,7.84,6.94,4.18,,
"(4V17) (549) Dallas, TX","39,853","37,441",93.95%,"2,412",6.05%,"33,696","1,656","2,089","1,239",590,289,294,6.03,7.17,3.15,,
"(4V17) (549A5) Garland, TX",2,2,100.00%,0,0.00%,1,1,0,0,0,0,0,6.03,7.17,3.15,,
"(4V17) (549A4) Bonham, TX (Sam
Rayburn Center)","5,808","5,638",97.07%,170,2.93%,"5,065",315,258,80,19,18,53,3.49,6.18,2.98,,
"(4V17) (549A5) Garland, TX","1,276","1,242",97.34%,34,2.66%,"1,122",61,59,26,3,4,1,3.94,0.00,2.94,,
"(4V17) (549BY) Fort Worth, TX","10,437","9,633",92.30%,804,7.70%,"8,452",525,656,418,210,122,54,10.54,5.99,4.74,,
"(4V17) (549GD) Denton, TX","1,407","1,275",90.62%,132,9.38%,"1,132",77,66,43,27,11,51,19.78,12.40,1.67,,
"(4V17) (549GE) Decatur, TX",269,233,86.62%,36,13.38%,203,10,20,20,4,0,12,22.92,,17.42,,
"(4V17) (549GF) Granbury, TX",215,204,94.88%,11,5.12%,184,11,9,3,2,2,4,7.48,,33.20,,
"(4V17) (549GH) Greenville, TX",404,389,96.29%,15,3.71%,364,13,12,8,2,1,4,8.09,19.00,8.61,,
"(4V17) (549GJ) Sherman, TX",696,657,94.40%,39,5.60%,597,26,34,14,9,8,8,3.64,,17.93,,
"(4V17) (549GK) Polk Street, TX",962,943,98.02%,19,1.98%,877,38,28,14,3,2,0,3.26,0.00,1.09,,
"(4V17) (549GL) Plano, TX","2,225","2,162",97.17%,63,2.83%,"2,015",71,76,37,6,4,16,4.13,11.42,6.33,,
"(4V17) (549GM) Grand Prairie, TX",727,719,98.90%,8,1.10%,635,56,28,7,1,0,0,2.55,,2.75,,
"(4V17) (549QC) Tyler Broadway, TX","1,276","1,152",90.28%,124,9.72%,"1,011",86,55,74,24,10,16,9.34,8.02,7.94,,
"(4V17) (671) San Antonio, TX HCS","62,565","58,125",92.90%,"4,440",7.10%,"51,742","2,967","3,416","2,373","1,073",362,632,2.92,17.64,7.79,,
"(4V17) (671) San Antonio, TX (Audie L. Murphy)","30,410","27,564",90.64%,"2,846",9.36%,"24,294","1,343","1,927","1,545",810,252,239,2.93,14.77,7.35,,
"(4V17) (671A4) Kerrville, TX","4,585","4,355",94.98%,230,5.02%,"3,909",230,216,129,41,20,40,2.85,20.57,5.69,,
"(4V17) (671BU) San Antonio, TX - VADOM",51,51,100.00%,0,0.00%,51,0,0,0,0,0,0,,,0.41,,
"(4V17) (671) San Antonio, TX (Audie L. Murphy)","1,894","1,894",100.00%,0,0.00%,"1,878",4,12,0,0,0,0,1.47,14.73,6.10,,
"(4V17) (671BY) San Antonio Eckert Road, TX (Frank M. Tejeda)","4,322","4,163",96.32%,159,3.68%,"3,676",256,231,115,25,11,8,1.47,14.73,6.10,,
(4V17) (671DT) Unknown,47,44,93.62%,3,6.38%,38,5,1,0,2,1,0,,6.91,,,
"(4V17) (671GB) Victoria, TX","1,042","1,017",97.60%,25,2.40%,878,92,47,20,2,0,3,4.60,5.53,3.46,,
"(4V17) (671GF) South Bexar County, TX","1,880","1,856",98.72%,24,1.28%,"1,723",73,60,16,2,2,4,1.97,,7.31,,
"(4V17) (671GK) San Antonio Woodcock Drive, TX","1,614","1,573",97.46%,41,2.54%,"1,400",96,77,30,6,1,4,5.10,,2.62,,
"(4V17) (671GL) New Braunfels, TX",475,449,94.53%,26,5.47%,378,36,35,17,4,2,3,8.14,,,,
"(4V17) (671GN) Seguin, TX",126,123,97.62%,3,2.38%,113,5,5,3,0,0,0,2.96,,,,
"(4V17) (671GO) North Central Federal, TX","3,907","3,756",96.14%,151,3.86%,"3,285",250,221,93,31,13,14,3.08,6.78,10.07,,
