facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(3V15) (589) Kansas City, MO","20,427","19,429",95.11%,998,4.89%,"17,216",996,"1,217",685,181,70,62,2.03,6.68,1.27,,,
"(3V15) (589G1) Warrensburg, MO","1,130","1,124",99.47%,6,0.53%,"1,047",59,18,4,0,0,2,1.89,1.96,1.38,,,
"(3V15) (589GB) Belton, MO",754,748,99.20%,6,0.80%,676,44,28,4,1,0,1,3.52,3.25,1.94,,,
"(3V15) (589GC) Paola, KS",332,324,97.59%,8,2.41%,281,26,17,8,0,0,0,2.89,1.00,2.79,,,
"(3V15) (589GD) Nevada, MO",520,515,99.04%,5,0.96%,498,9,8,5,0,0,0,0.62,16.50,1.00,,,
"(3V15) (589GZ) Cameron, MO",199,198,99.50%,1,0.50%,190,4,4,1,0,0,0,2.12,0.00,0.00,,,
"(3V15) (589JB) Excelsior Springs, MO",717,704,98.19%,13,1.81%,674,16,14,7,6,0,0,3.23,9.71,1.27,,,
"(3V15) (589JC) Shawnee, KS",882,877,99.43%,5,0.57%,830,28,19,5,0,0,0,1.11,16.00,,,,
"(3V15) (589JF) Honor, MO","2,822","2,784",98.65%,38,1.35%,"2,619",87,78,25,4,2,7,3.67,18.47,1.19,,,
"(3V15) (589QA) Overland Park, KS",586,586,100.00%,0,0.00%,578,7,1,0,0,0,0,,0.18,0.00,,,
(3V15) (589A5) Eastern Kansas HCS,"20,848","19,933",95.61%,915,4.39%,"17,434","1,290","1,209",595,130,56,134,4.16,10.97,2.36,,,
"(3V15) (589A5) Topeka, KS
(Colmery-ONeil)","10,161","9,761",96.06%,400,3.94%,"8,631",543,587,225,54,20,101,3.65,14.03,1.62,,,
"(3V15) (589A6) Leavenworth, KS (Dwight D. Eisenhower)","7,643","7,258",94.96%,385,5.04%,"6,173",591,494,266,63,28,28,4.21,8.39,3.40,,,
"(3V15) (589BU) Leavenworth, KS - VADOM",33,33,100.00%,0,0.00%,32,1,0,0,0,0,0,,,0.45,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(3V15) (589GI) St. Joseph, MO",775,759,97.94%,16,2.06%,687,40,32,15,1,0,0,3.92,3.16,1.88,,,
"(3V15) (589GJ) Wyandotte County, KS",269,262,97.40%,7,2.60%,245,7,10,6,1,0,0,2.81,,1.99,,,
"(3V15) (589GM) Chanute, KS",59,57,96.61%,2,3.39%,55,2,0,2,0,0,0,3.69,,1.08,,,
"(3V15) (589GP) Garnett, KS",30,30,100.00%,0,0.00%,24,5,1,0,0,0,0,5.74,,0.00,,,
"(3V15) (589GR) Junction City, KS (Lieutenant General Richard J. Seitz- Based)","1,194","1,115",93.38%,79,6.62%,981,73,61,64,7,3,5,6.68,8.75,3.96,,,
"(3V15) (589GU) Lawrence, KS",262,255,97.33%,7,2.67%,236,11,8,5,1,1,0,2.55,0.14,1.29,,,
"(3V15) (589GV) Fort Scott, KS",115,114,99.13%,1,0.87%,105,5,4,1,0,0,0,0.61,0.00,4.58,,,
"(3V15) (589JE) Platte City, MO",307,289,94.14%,18,5.86%,265,12,12,11,3,4,0,6.58,,2.51,,,
"(3V15) (589A7) Wichita, KS HCS","18,732","17,803",95.04%,929,4.96%,"15,835",906,"1,062",616,153,76,84,2.57,8.68,5.03,,,
"(3V15) (589A7) Wichita, KS (Robert J. Dole)","15,023","14,281",95.06%,742,4.94%,"12,530",814,937,513,124,47,58,3.10,8.02,5.39,,,
"(3V15) (589G2) Dodge City, KS",405,402,99.26%,3,0.74%,394,5,3,2,1,0,0,0.44,0.00,0.00,,,
"(3V15) (589G3) Liberal, KS",51,47,92.16%,4,7.84%,42,3,2,1,0,1,2,5.41,0.00,0.00,,,
"(3V15) (589G4) Hays, KS",348,338,97.13%,10,2.87%,324,3,11,6,1,2,1,5.98,0.13,2.23,,,
"(3V15) (589G5) Parsons, KS",415,405,97.59%,10,2.41%,384,9,12,8,2,0,0,2.03,1.88,2.47,,,
"(3V15) (589G7) Hutchinson, KS",566,562,99.29%,4,0.71%,527,15,20,1,1,1,1,1.81,1.00,1.48,,,
"(3V15) (589GW) Salina, KS",812,799,98.40%,13,1.60%,735,27,37,9,2,2,0,1.22,0.00,6.39,,,
"(3V15) (589A7) Wichita, KS (Robert J. Dole)",7,7,100.00%,0,0.00%,7,0,0,0,0,0,0,3.23,9.71,1.27,,,
"(3V15) (589QB) Sedgwick County, KS",5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,,,,,
"(3V15) (589QC) South Parklane, KS","1,100",957,87.00%,143,13.00%,887,30,40,76,22,23,22,,12.22,,,,
"(3V15) (657A5) Marion, IL HCS","17,354","16,599",95.65%,755,4.35%,"14,710",971,918,467,111,43,134,4.54,10.35,2.32,,,
"(3V15) (657A5) Marion, IL","6,287","5,966",94.89%,321,5.11%,"5,305",314,347,181,21,19,100,5.69,11.55,1.79,,,
(3V15) (657BW) Marion MH-RRTP,50,50,100.00%,0,0.00%,50,0,0,0,0,0,0,,,0.08,,,
"(3V15) (657GJ) Evansville, IN","5,738","5,451",95.00%,287,5.00%,"4,738",366,347,189,58,11,29,1.52,8.81,3.94,,,
"(3V15) (657GK) Mount Vernon, IL",493,489,99.19%,4,0.81%,454,26,9,4,0,0,0,0.84,2.33,1.73,,,
"(3V15) (657GL) Paducah, KY",893,887,99.33%,6,0.67%,784,46,57,3,2,1,0,2.87,0.80,2.15,,,
"(3V15) (657GM) Effingham, IL",417,377,90.41%,40,9.59%,326,29,22,26,14,0,0,10.45,0.00,2.04,,,
"(3V15) (657GP) Owensboro, KY",846,811,95.86%,35,4.14%,717,67,27,10,12,11,2,8.56,0.00,2.26,,,
"(3V15) (657GQ) Vincennes, IN",522,492,94.25%,30,5.75%,426,33,33,27,2,0,1,10.16,,1.52,,,
"(3V15) (657GR) Mayfield, KY",394,393,99.75%,1,0.25%,376,14,3,1,0,0,0,0.61,0.00,1.44,,,
"(3V15) (657GT) Carbondale, IL",557,557,100.00%,0,0.00%,538,16,3,0,0,0,0,0.97,,0.15,,,
"(3V15) (657GU) Harrisburg, IL",275,274,99.64%,1,0.36%,253,16,5,1,0,0,0,1.07,,1.79,,,
"(3V15) (657QD) Heartland Street, IL",882,852,96.60%,30,3.40%,743,44,65,25,2,1,2,5.76,6.15,3.19,,,
"(3V15) (657A4) Poplar Bluff, MO HCS","10,101","9,829",97.31%,272,2.69%,"8,985",395,449,191,34,17,30,1.87,10.45,3.37,,,
"(3V15) (657A4) Poplar Bluff, MO (John J. Pershing)","5,118","4,948",96.68%,170,3.32%,"4,453",211,284,119,19,7,25,2.28,12.34,2.15,,,
"(3V15) (657GF) West Plains, MO","1,083","1,074",99.17%,9,0.83%,"1,013",31,30,5,4,0,0,0.92,4.95,3.83,,,
"(3V15) (657GG) Paragould, AR",510,500,98.04%,10,1.96%,444,31,25,10,0,0,0,1.43,1.91,2.27,,,
"(3V15) (657GH) Cape Girardeau, MO","1,417","1,366",96.40%,51,3.60%,"1,293",40,33,31,7,8,5,5.15,5.06,4.14,,,
"(3V15) (657GI) Farmington, MO","1,219","1,201",98.52%,18,1.48%,"1,077",69,55,14,4,0,0,0.70,3.21,4.67,,,
"(3V15) (657GV) Sikeston, MO",534,520,97.38%,14,2.62%,487,12,21,12,0,2,0,0.53,6.81,6.12,,,
"(3V15) (657GW) Pocahontas, AR",220,220,100.00%,0,0.00%,218,1,1,0,0,0,0,0.57,0.00,3.29,,,
"(3V15) (657) St. Louis, MO HCS","33,299","30,542",91.72%,"2,757",8.28%,"26,873","1,547","2,122","1,476",553,257,471,9.51,17.00,2.36,,,
"(3V15) (657) St. Louis John Cochran, MO (John Cochran)","16,031","14,521",90.58%,"1,510",9.42%,"12,679",716,"1,126",809,316,139,246,4.37,15.63,1.97,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(3V15) (657A0) St. Louis Jefferson Barracks, MO","9,859","9,268",94.01%,591,5.99%,"8,129",532,607,371,93,38,89,11.02,14.41,2.79,,,
(3V15) (657PD) St Louis SARRTP,40,40,100.00%,0,0.00%,40,0,0,0,0,0,0,11.02,14.41,2.79,,,
"(3V15) (657GA) St. Clair County, IL","1,231","1,032",83.83%,199,16.17%,868,64,100,92,55,21,31,24.17,30.21,1.71,,,
"(3V15) (657GB) St. Louis County, MO",966,950,98.34%,16,1.66%,897,31,22,12,1,2,1,1.40,17.21,3.98,,,
"(3V15) (657GD) St. Charles County, MO",981,945,96.33%,36,3.67%,894,27,24,32,2,0,2,3.90,15.38,0.24,,,
"(3V15) (657GS) Franklin County, MO",603,568,94.20%,35,5.80%,496,22,50,28,6,1,0,10.66,15.96,0.00,,,
"(3V15) (657GX) Washington Avenue, MO",755,708,93.77%,47,6.23%,636,27,45,34,8,2,3,6.87,0.00,0.06,,,
"(3V15) (657GY) Manchester Avenue, MO","1,098","1,007",91.71%,91,8.29%,903,36,68,37,22,17,15,13.64,37.25,0.13,,,
(3V15) (657PD) St Louis SARRTP,159,159,100.00%,0,0.00%,159,0,0,0,0,0,0,,,,,,
"(3V15) (657QA) Olive Street, MO","1,467","1,236",84.25%,231,15.75%,"1,070",88,78,60,50,37,84,4.98,29.00,0.00,,,
"(3V15) (657QB) Washington Boulevard, MO",105,104,99.05%,1,0.95%,98,4,2,1,0,0,0,,,,,,
"(3V15) (657QE) Scott Air Force Base, IL",4,4,100.00%,0,0.00%,4,0,0,0,0,0,0,,0.00,,,,
"(4V16) (502) Alexandria, LA HCS","14,530","13,595",93.57%,935,6.43%,"12,052",715,828,507,156,87,185,8.22,14.38,4.82,,,
"(4V16) (502) Alexandria, LA","8,053","7,550",93.75%,503,6.25%,"6,780",345,425,245,82,47,129,11.20,15.03,2.00,,,
"(4V16) (502GA) Jennings, LA",494,447,90.49%,47,9.51%,389,34,24,19,6,8,14,1.28,0.00,2.21,,,
"(4V16) (502GB) Lafayette, LA","2,535","2,322",91.60%,213,8.40%,"1,993",150,179,141,37,18,17,7.14,12.85,0.30,,,
"(4V16) (502GE) Lake Charles, LA (Douglas Fournet)","1,097","1,065",97.08%,32,2.92%,985,37,43,26,3,1,2,4.77,13.39,2.70,,,
"(4V16) (502GF) Fort Polk, LA","1,123","1,049",93.41%,74,6.59%,903,74,72,28,14,11,21,9.22,6.64,20.36,,,
"(4V16) (502GG) Natchitoches, LA",458,453,98.91%,5,1.09%,431,15,7,3,1,1,0,1.02,0.50,2.83,,,
"(4V16) (502QB) Lafayette Campus B, LA",770,709,92.08%,61,7.92%,571,60,78,45,13,1,2,,,7.48,,,
"(4V16) (520) Gulf Coast, MS HCS","31,183","29,012",93.04%,"2,171",6.96%,"25,617","1,633","1,762","1,080",360,189,542,4.62,15.49,5.47,,,
"(4V16) (520) Biloxi, MS","12,308","11,452",93.05%,856,6.95%,"10,168",585,699,411,138,80,227,6.23,16.16,4.67,,,
"(4V16) (520BZ) Pensacola, FL","9,933","9,091",91.52%,842,8.48%,"7,750",684,657,447,171,79,145,6.02,11.83,8.43,,,
"(4V16) (520GA) Mobile, AL","3,966","3,711",93.57%,255,6.43%,"3,456",115,140,87,25,17,126,2.14,31.21,3.22,,,
"(4V16) (520GB) Panama City Beach, FL","1,687","1,653",97.98%,34,2.02%,"1,562",53,38,12,11,4,7,1.38,12.94,0.18,,,
"(4V16) (520GC) Eglin Air Force Base, FL","2,444","2,287",93.58%,157,6.42%,"1,946",163,178,102,14,7,34,5.21,8.87,9.14,,,
"(4V16) (520QA) Panama City Beach West, FL",845,818,96.80%,27,3.20%,735,33,50,21,1,2,3,,1.41,2.94,,,
"(4V16) (564) Fayetteville, AR HCS","31,061","29,746",95.77%,"1,315",4.23%,"27,150","1,132","1,464",795,256,121,143,4.79,7.32,2.53,,,
"(4V16) (564) Fayetteville, AR","13,979","13,332",95.37%,647,4.63%,"12,131",493,708,421,123,54,49,3.80,8.24,1.37,,,
"(4V16) (564BY) Springfield, MO (Gene Taylor)","6,898","6,581",95.40%,317,4.60%,"5,968",297,316,161,56,37,63,5.32,5.52,3.77,,,
"(4V16) (564GA) Harrison, AR",474,469,98.95%,5,1.05%,453,9,7,3,1,0,1,1.80,,0.00,,,
"(4V16) (564GB) Fort Smith, AR","2,663","2,563",96.24%,100,3.76%,"2,319",111,133,70,19,7,4,5.12,3.62,3.83,,,
"(4V16) (564GC) Branson, MO","2,608","2,524",96.78%,84,3.22%,"2,339",75,110,46,7,18,13,5.63,11.08,2.68,,,
"(4V16) (564GD) Ozark, AR",539,500,92.76%,39,7.24%,381,35,84,27,7,2,3,5.72,0.00,8.09,,,
"(4V16) (564GE) Jay, OK",783,756,96.55%,27,3.45%,720,13,23,12,15,0,0,3.59,1.00,3.36,,,
"(4V16) (564GF) Joplin, MO","2,303","2,247",97.57%,56,2.43%,"2,104",83,60,29,14,3,10,5.77,3.10,3.38,,,
"(4V16) (564QA) Township, AR",244,244,100.00%,0,0.00%,244,0,0,0,0,0,0,,,,,,
"(4V16) (564QB) Sunbridge, AR",570,530,92.98%,40,7.02%,491,16,23,26,14,0,0,,6.09,,,,
"(4V16) (580) Houston, TX HCS","63,350","60,849",96.05%,"2,501",3.95%,"56,296","2,135","2,418","1,487",541,146,327,3.10,5.48,1.90,,,
"(4V16) (580) Houston, TX (Michael E. DeBakey)","40,418","38,624",95.56%,"1,794",4.44%,"35,679","1,369","1,576","1,015",398,124,257,2.56,5.82,2.21,,,
"(4V16) (580BY) Beaumont, TX","2,783","2,657",95.47%,126,4.53%,"2,441",115,101,80,26,0,20,5.93,3.56,0.53,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(4V16) (580BZ) Lufkin, TX (Charles Wilson)","1,781","1,650",92.64%,131,7.36%,"1,499",79,72,107,18,5,1,8.08,2.86,0.98,,,
"(4V16) (580GC) Galveston County, TX",710,690,97.18%,20,2.82%,623,27,40,18,1,0,1,4.67,0.29,1.45,,,
"(4V16) (580GD) Conroe, TX","4,023","3,904",97.04%,119,2.96%,"3,520",162,222,70,26,6,17,2.07,5.74,1.63,,,
"(4V16) (580GE) Katy, TX","4,038","3,924",97.18%,114,2.82%,"3,759",80,85,60,44,2,8,1.62,3.10,2.46,,,
"(4V16) (580GF) Lake Jackson, TX","1,395","1,384",99.21%,11,0.79%,"1,336",32,16,9,2,0,0,1.46,,2.63,,,
"(4V16) (580GG) Richmond, TX","2,489","2,454",98.59%,35,1.41%,"2,319",67,68,20,6,3,6,0.99,2.91,1.04,,,
"(4V16) (580GH) Tomball, TX","3,130","3,020",96.49%,110,3.51%,"2,750",122,148,75,15,4,16,3.16,9.05,1.31,,,
"(4V16) (580GJ) Texas City, TX","2,474","2,434",98.38%,40,1.62%,"2,266",80,88,32,5,2,1,1.90,1.04,1.65,,,
"(4V16) (580GL) Sugar Land, TX",109,108,99.08%,1,0.92%,104,2,2,1,0,0,0,1.42,,0.00,,,
"(4V16) (586) Jackson, MS HCS","20,663","19,576",94.74%,"1,087",5.26%,"17,838",794,944,640,195,84,168,4.25,11.19,2.30,,,
"(4V16) (586) Jackson, MS (G.V.
(Sonny) Montgomery)","16,005","15,123",94.49%,882,5.51%,"13,880",574,669,519,171,69,123,5.25,11.36,1.37,,,
"(4V16) (586GA) Kosciusko, MS",295,290,98.31%,5,1.69%,259,12,19,3,0,0,2,2.19,118.50,1.15,,,
"(4V16) (586GB) Meridian, MS",676,665,98.37%,11,1.63%,640,9,16,9,1,1,0,0.68,45.38,1.24,,,
"(4V16) (586GC) Greenville, MS",505,499,98.81%,6,1.19%,458,21,20,5,1,0,0,1.21,11.25,3.00,,,
"(4V16) (586GD) Hattiesburg, MS","1,661","1,533",92.29%,128,7.71%,"1,357",62,114,62,19,12,35,3.69,27.80,8.62,,,
"(4V16) (586GE) Natchez, MS",343,341,99.42%,2,0.58%,264,40,37,0,1,1,0,2.12,13.50,0.70,,,
"(4V16) (586GF) Columbus, MS",358,327,91.34%,31,8.66%,292,23,12,22,2,1,6,10.33,17.50,16.76,,,
"(4V16) (586GG) McComb, MS",415,414,99.76%,1,0.24%,397,12,5,1,0,0,0,0.65,,21.50,,,
"(4V16) (586QB) Dogwood View Parkway, MS",405,384,94.81%,21,5.19%,291,41,52,19,0,0,2,,7.53,,,,
"(4V16) (598) Little Rock, AR HCS","30,996","28,941",93.37%,"2,055",6.63%,"26,348","1,130","1,463",973,492,221,369,4.43,12.33,3.22,,,
"(4V16) (598) Little Rock, AR (John L. McClellan)","14,138","13,027",92.14%,"1,111",7.86%,"11,886",443,698,540,317,113,141,2.84,10.51,1.71,,,
"(4V16) (598A0) North Little Rock, AR (Eugene J. Towbin Healthcare Center)","8,955","8,393",93.72%,562,6.28%,"7,544",355,494,249,113,46,154,4.92,17.19,3.08,,,
"(4V16) (598GA) Mountain Home, AR","1,418","1,276",89.99%,142,10.01%,"1,135",79,62,47,17,23,55,8.89,6.32,12.03,,,
"(4V16) (598GB) El Dorado, AR",532,530,99.62%,2,0.38%,509,18,3,2,0,0,0,1.13,0.50,6.10,,,
"(4V16) (598GC) Hot Springs, AR","1,733","1,660",95.79%,73,4.21%,"1,528",78,54,24,18,19,12,2.76,13.24,2.97,,,
"(4V16) (598GD) Mena, AR",562,557,99.11%,5,0.89%,522,15,20,4,1,0,0,2.66,3.50,1.27,,,
"(4V16) (598GE) Pine Bluff, AR",765,749,97.91%,16,2.09%,707,27,15,12,4,0,0,1.67,0.00,7.43,,,
"(4V16) (598GF) Searcy, AR",975,960,98.46%,15,1.54%,904,29,27,12,1,1,1,0.28,4.79,3.78,,,
"(4V16) (598GG) Conway, AR","1,345","1,227",91.23%,118,8.77%,"1,113",62,52,74,21,18,5,5.07,14.72,4.38,,,
"(4V16) (598GH) Russellville, AR",573,562,98.08%,11,1.92%,500,24,38,9,0,1,1,2.67,3.83,0.31,,,
"(4V16) (629) New Orleans, LA HCS","32,548","29,902",91.87%,"2,646",8.13%,"25,483","2,036","2,383","1,458",466,204,518,2.18,15.56,5.79,,,
"(4V16) (629) New Orleans, LA","22,707","20,386",89.78%,"2,321",10.22%,"17,129","1,420","1,837","1,221",417,191,492,2.72,17.37,6.39,,,
"(4V16) (629BY) Baton Rouge, LA","3,309","3,138",94.83%,171,5.17%,"2,831",168,139,114,34,7,16,1.57,10.39,10.25,,,
"(4V16) (629GA) Houma, LA",856,848,99.07%,8,0.93%,744,53,51,8,0,0,0,2.19,2.47,0.58,,,
"(4V16) (629GB) Hammond, LA","1,520","1,500",98.68%,20,1.32%,"1,247",137,116,19,0,1,0,1.20,3.65,2.70,,,
"(4V16) (629GC) Slidell, LA","1,448","1,404",96.96%,44,3.04%,"1,260",62,82,28,9,3,4,0.03,2.46,19.03,,,
"(4V16) (629GD) St. John, LA",531,525,98.87%,6,1.13%,449,42,34,4,1,0,1,3.30,10.00,0.00,,,
"(4V16) (629GE) Franklin, LA",221,203,91.86%,18,8.14%,184,5,14,10,1,2,5,5.43,,11.91,,,
"(4V16) (629GF) Bogalusa, LA",330,328,99.39%,2,0.61%,318,6,4,1,1,0,0,0.66,0.00,0.13,,,
"(4V16) (629QA) Baton Rouge South, LA","1,626","1,570",96.56%,56,3.44%,"1,321",143,106,53,3,0,0,,8.67,3.19,,,
"(4V16) (667) Shreveport, LA HCS","17,397","16,309",93.75%,"1,088",6.25%,"14,617",785,907,554,115,42,377,4.59,14.29,5.40,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(4V16) (667) Shreveport, LA (Overton Brooks)","13,189","12,323",93.43%,866,6.57%,"10,992",604,727,386,84,32,364,2.86,15.13,3.41,,,
"(4V16) (667GA) Texarkana, AR","1,305","1,222",93.64%,83,6.36%,"1,073",64,85,54,19,7,3,4.79,3.22,18.62,,,
"(4V16) (667GB) Monroe, LA","1,335","1,325",99.25%,10,0.75%,"1,258",42,25,10,0,0,0,2.30,0.03,0.39,,,
"(4V16) (667GC) Longview, TX","1,531","1,402",91.57%,129,8.43%,"1,257",75,70,104,12,3,10,11.35,3.36,10.89,,,
"(4V16) (667QA) Knight Street, LA",37,37,100.00%,0,0.00%,37,0,0,0,0,0,0,,0.00,,,,
"(4V17) (549) Dallas, TX HCS","68,351","63,589",93.03%,"4,762",6.97%,"56,268","3,477","3,844","2,719","1,042",325,676,5.88,11.02,3.35,,,
"(4V17) (549) Dallas, TX","38,119","35,162",92.24%,"2,957",7.76%,"30,866","1,947","2,349","1,680",693,210,374,4.89,11.39,1.98,,,
"(4V17) (549A4) Bonham, TX (Sam
Rayburn Center)","5,713","5,442",95.26%,271,4.74%,"4,898",300,244,161,52,16,42,2.84,9.14,1.83,,,
"(4V17) (549A5) Garland, TX","1,520","1,492",98.16%,28,1.84%,"1,357",80,55,13,8,5,2,3.78,0.00,6.96,,,
"(4V17) (549BY) Fort Worth, TX","13,199","12,186",92.33%,"1,013",7.67%,"10,641",732,813,658,186,58,111,2.45,9.11,4.70,,,
"(4V17) (549GD) Denton, TX","1,663","1,538",92.48%,125,7.52%,"1,386",81,71,45,15,8,57,16.93,13.25,2.32,,,
"(4V17) (549GE) Decatur, TX",256,243,94.92%,13,5.08%,212,10,21,8,2,1,2,8.86,,16.12,,,
"(4V17) (549GF) Granbury, TX",305,282,92.46%,23,7.54%,262,11,9,7,4,2,10,12.00,,14.80,,,
"(4V17) (549GH) Greenville, TX",519,477,91.91%,42,8.09%,434,30,13,15,10,2,15,10.69,15.00,12.78,,,
"(4V17) (549GJ) Sherman, TX",582,578,99.31%,4,0.69%,549,17,12,2,0,1,1,1.77,0.00,1.81,,,
"(4V17) (549GK) Polk Street, TX","1,004",987,98.31%,17,1.69%,927,36,24,13,2,0,2,0.94,0.00,4.52,,,
"(4V17) (549GL) Plano, TX","2,603","2,538",97.50%,65,2.50%,"2,403",61,74,28,8,15,14,3.58,9.74,5.01,,,
"(4V17) (549GM) Grand Prairie, TX","1,004",994,99.00%,10,1.00%,902,32,60,10,0,0,0,1.62,,2.68,,,
"(4V17) (549QC) Tyler Broadway, TX","1,864","1,670",89.59%,194,10.41%,"1,431",140,99,79,62,7,46,4.99,30.15,7.86,,,
"(4V17) (671) San Antonio, TX HCS","59,511","54,057",90.84%,"5,454",9.16%,"46,479","3,385","4,193","3,197","1,084",383,790,7.33,17.34,6.42,,,
"(4V17) (671) San Antonio, TX (Audie L. Murphy)","30,552","27,061",88.57%,"3,491",11.43%,"23,200","1,602","2,259","2,248",711,287,245,10.41,14.61,4.69,,,
"(4V17) (671A4) Kerrville, TX","3,694","3,488",94.42%,206,5.58%,"3,008",238,242,89,32,13,72,4.89,15.89,3.61,,,
"(4V17) (671BU) San Antonio, TX - VADOM",63,63,100.00%,0,0.00%,61,1,1,0,0,0,0,,,1.00,,,
"(4V17) (671BY) San Antonio Eckert Road, TX (Frank M. Tejeda)","5,223","4,980",95.35%,243,4.65%,"4,377",309,294,153,59,9,22,5.32,16.70,6.37,,,
(4V17) (671DT) Unknown,59,49,83.05%,10,16.95%,30,7,12,8,2,0,0,,14.97,,,,
"(4V17) (671GB) Victoria, TX",876,856,97.72%,20,2.28%,763,51,42,17,2,0,1,5.27,3.28,2.41,,,
"(4V17) (671GF) South Bexar County, TX","1,490","1,444",96.91%,46,3.09%,"1,242",102,100,38,2,1,5,4.32,,8.18,,,
"(4V17) (671GH) Beeville, TX",152,150,98.68%,2,1.32%,143,4,3,0,1,0,1,1.68,,,,,
"(4V17) (671GK) San Antonio Woodcock Drive, TX","2,184","2,104",96.34%,80,3.66%,"1,794",124,186,46,2,3,29,10.99,,2.58,,,
"(4V17) (671GL) New Braunfels, TX",756,690,91.27%,66,8.73%,608,30,52,58,5,1,2,7.82,,,,,
"(4V17) (671GN) Seguin, TX",184,179,97.28%,5,2.72%,163,5,11,5,0,0,0,3.29,,,,,
"(4V17) (671GO) North Central Federal, TX","3,308","3,129",94.59%,179,5.41%,"2,624",272,233,129,38,3,9,6.31,9.88,6.53,,,
"(4V17) (671GP) Balcones Heights, TX","3,370","3,153",93.56%,217,6.44%,"2,612",246,295,147,32,9,29,11.15,1.96,10.90,,,
"(4V17) (671GQ) Shavano Park, TX","1,252","1,213",96.88%,39,3.12%,"1,096",63,54,33,2,3,1,3.45,,7.14,,,
"(4V17) (671GR) North Bexar, TX",539,530,98.33%,9,1.67%,445,42,43,6,2,0,1,4.59,,2.87,,,
(4V17) (671PA) San Antonio SARRTP,1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,0.00,,,
"(4V17) (671QB) Data Point, TX","5,808","4,967",85.52%,841,14.48%,"4,312",289,366,220,194,54,373,,24.93,,,,
"(4V17) (674) Temple, TX HCS","51,798","46,828",90.41%,"4,970",9.59%,"40,668","2,830","3,330","2,583",990,406,991,8.08,17.30,6.24,,,
"(4V17) (674) Temple, TX (Olin E.
Teague Center)","25,751","23,021",89.40%,"2,730",10.60%,"19,895","1,429","1,697","1,312",558,286,574,13.72,16.30,8.79,,,
"(4V17) (674A4) Waco, TX (Doris
Miller)","4,762","4,486",94.20%,276,5.80%,"3,941",245,300,157,47,11,61,7.49,13.67,3.53,,,
"(4V17) (674BY) Austin, TX","15,104","13,467",89.16%,"1,637",10.84%,"11,720",820,927,902,315,90,330,6.53,20.63,4.53,,,
