facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(3V15) (589JC) Shawnee, KS",,874,,860,,98.40%,,14,,1.60%,,762,,57,,41,,12,,2,,0,,0,,3.49,,0,,0,,,
"(3V15) (589JF) Honor, MO",,"2,662",,"2,601",,97.71%,,61,,2.29%,,"2,410",,97,,94,,55,,4,,2,,0,,3.25,,3.88,,2.45,,,
(3V15) (589MC) IDES Whiteman AFB,,28,,28,,100.00%,,0,,0.00%,,28,,0,,0,,0,,0,,0,,0,,,,0,,0,,,
"(3V15) (589QA) Overland Park, KS",,659,,659,,100.00%,,0,,0.00%,,657,,1,,1,,0,,0,,0,,0,,,,0.07,,,,,
(3V15) (589A5) Eastern Kansas HCS,,"21,381",,"20,580",,96.25%,,801,,3.75%,,"17,948",,"1,301",,"1,331",,588,,142,,32,,39,,4.53,,7.57,,2.82,,,
"(3V15) (589A5) Topeka, KS (Colmery-ONeil)",,"10,075",,"9,736",,96.64%,,339,,3.36%,,"8,679",,567,,490,,203,,85,,17,,34,,2.72,,9.32,,1.8,,,
"(3V15) (589A6) Leavenworth, KS (Dwight D. Eisenhower)",,"7,845",,"7,567",,96.46%,,278,,3.54%,,"6,528",,488,,551,,241,,32,,4,,1,,4.81,,5.69,,3.05,,,
"(3V15) (589BU) Leavenworth, KS - VADOM",,10,,10,,100.00%,,0,,0.00%,,9,,1,,0,,0,,0,,0,,0,,,,10,,0,,,
"(3V15) (589GI) St. Joseph, MO",,718,,672,,93.59%,,46,,6.41%,,580,,30,,62,,31,,4,,7,,4,,11.03,,1.92,,6.85,,,
"(3V15) (589GJ) Wyandotte County, KS",,334,,330,,98.80%,,4,,1.20%,,311,,12,,7,,4,,0,,0,,0,,2.45,,0,,1.48,,,
"(3V15) (589GM) Chanute, KS",,82,,77,,93.90%,,5,,6.10%,,69,,6,,2,,3,,1,,1,,0,,6.47,,,,3.31,,,
"(3V15) (589GP) Garnett, KS",,37,,35,,94.59%,,2,,5.41%,,33,,2,,0,,1,,0,,1,,0,,7.12,,,,0,,,
"(3V15) (589GR) Junction City, KS (Lieutenant General Richard J. Seitz-Based)",,"1,430",,"1,322",,92.45%,,108,,7.55%,,"1,087",,128,,107,,91,,16,,1,,0,,7.15,,6.86,,8.32,,,
"(3V15) (589GU) Lawrence, KS",,202,,194,,96.04%,,8,,3.96%,,184,,4,,6,,7,,0,,1,,0,,2.85,,,,3.89,,,
"(3V15) (589GV) Fort Scott, KS",,218,,217,,99.54%,,1,,0.46%,,203,,8,,6,,1,,0,,0,,0,,0.83,,,,3.91,,,
"(3V15) (589JE) Platte City, MO",,308,,299,,97.08%,,9,,2.92%,,252,,20,,27,,5,,4,,0,,0,,4.52,,7,,4.87,,,
(3V15) (589MA) Ft. Riley DES Clinic,,98,,97,,98.98%,,1,,1.02%,,11,,35,,51,,1,,0,,0,,0,,,,16.37,,10.63,,,
(3V15) (589MD) IDES Fort Leavenworth,,24,,24,,100.00%,,0,,0.00%,,2,,0,,22,,0,,0,,0,,0,,,,17.04,,,,,
"(3V15) (589A7) Wichita, KS HCS",,"18,180",,"17,318",,95.26%,,862,,4.74%,,"15,238",,"1,009",,"1,071",,640,,149,,45,,28,,4.55,,7.27,,3.89,,,
"(3V15) (589A7) Wichita, KS (Robert J. Dole)",,"14,578",,"13,866",,95.12%,,712,,4.88%,,"12,159",,832,,875,,532,,122,,37,,21,,5.12,,7.68,,3.47,,,
"(3V15) (589G2) Dodge City, KS",,298,,292,,97.99%,,6,,2.01%,,273,,11,,8,,6,,0,,0,,0,,2.22,,1.71,,1.69,,,
"(3V15) (589G3) Liberal, KS",,37,,29,,78.38%,,8,,21.62%,,27,,1,,1,,1,,1,,2,,4,,35.65,,0,,0,,,
"(3V15) (589G4) Hays, KS",,387,,360,,93.02%,,27,,6.98%,,317,,17,,26,,26,,0,,0,,1,,6.36,,0.68,,3.31,,,
"(3V15) (589G5) Parsons, KS",,363,,356,,98.07%,,7,,1.93%,,320,,23,,13,,6,,0,,1,,0,,2.36,,3.39,,4.43,,,
"(3V15) (589G7) Hutchinson, KS",,604,,589,,97.52%,,15,,2.48%,,548,,15,,26,,12,,1,,1,,1,,3.74,,0.75,,2.26,,,
"(3V15) (589GW) Salina, KS",,787,,766,,97.33%,,21,,2.67%,,692,,35,,39,,14,,6,,0,,1,,1.64,,0.81,,10.4,,,
(3V15) (589MB) IDES McConnel AFB,,15,,14,,93.33%,,1,,6.67%,,10,,2,,2,,1,,0,,0,,0,,,,7.71,,0,,,
"(3V15) (589QB) Sedgwick County, KS",,10,,10,,100.00%,,0,,0.00%,,10,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(3V15) (589QC) South Parklane, KS",,"1,101",,"1,036",,94.10%,,65,,5.90%,,882,,73,,81,,42,,19,,4,,0,,,,6.49,,,,,
"(3V15) (657A5) Marion, IL HCS",,"20,649",,"19,994",,96.83%,,655,,3.17%,,"17,195",,"1,560",,"1,239",,489,,108,,35,,23,,3.23,,6.6,,3.3,,,
"(3V15) (657A5) Marion, IL",,"7,902",,"7,728",,97.80%,,174,,2.20%,,"6,685",,560,,483,,113,,29,,26,,6,,3.17,,5.48,,0.69,,,
(3V15) (657BW) Marion MH-RRTP,,132,,132,,100.00%,,0,,0.00%,,125,,3,,4,,0,,0,,0,,0,,,,,,1.56,,,
"(3V15) (657GJ) Evansville, IN",,"6,548",,"6,192",,94.56%,,356,,5.44%,,"5,163",,591,,438,,278,,57,,9,,12,,1.87,,8.13,,4.44,,,
"(3V15) (657GK) Mount Vernon, IL",,608,,607,,99.84%,,1,,0.16%,,574,,22,,11,,1,,0,,0,,0,,1.38,,,,1.49,,,
"(3V15) (657GL) Paducah, KY",,986,,958,,97.16%,,28,,2.84%,,818,,83,,57,,21,,4,,0,,3,,5.94,,0.38,,3.71,,,
"(3V15) (657GM) Effingham, IL",,651,,648,,99.54%,,3,,0.46%,,561,,47,,40,,2,,1,,0,,0,,2.46,,6,,4.73,,,
"(3V15) (657GO) Hanson, KY",,197,,196,,99.49%,,1,,0.51%,,161,,26,,9,,1,,0,,0,,0,,3.93,,,,0.64,,,
"(3V15) (657GP) Owensboro, KY",,876,,844,,96.35%,,32,,3.65%,,719,,67,,58,,30,,2,,0,,0,,4.03,,0,,5.14,,,
"(3V15) (657GQ) Vincennes, IN",,442,,432,,97.74%,,10,,2.26%,,359,,35,,38,,8,,2,,0,,0,,5.29,,,,2.94,,,
"(3V15) (657GR) Mayfield, KY",,577,,568,,98.44%,,9,,1.56%,,512,,28,,28,,9,,0,,0,,0,,1.34,,1.77,,5.62,,,
"(3V15) (657GT) Carbondale, IL",,582,,580,,99.66%,,2,,0.34%,,566,,11,,3,,2,,0,,0,,0,,1.05,,,,0.99,,,
"(3V15) (657GU) Harrisburg, IL",,327,,291,,88.99%,,36,,11.01%,,242,,13,,36,,23,,13,,0,,0,,11.75,,,,1.34,,,
"(3V15) (657QC) Enterprise Way, IL",,10,,10,,100.00%,,0,,0.00%,,10,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(3V15) (657QD) Heartland Street, IL",,811,,808,,99.63%,,3,,0.37%,,700,,74,,34,,1,,0,,0,,2,,3.35,,1.74,,3.27,,,
"(3V15) (657A4) Poplar Bluff, MO HCS",,"12,312",,"11,881",,96.50%,,431,,3.50%,,"10,407",,614,,860,,370,,42,,14,,5,,3.03,,9.44,,4.12,,,
"(3V15) (657A4) Poplar Bluff, MO (John J. Pershing)",,"7,199",,"6,831",,94.89%,,368,,5.11%,,"5,702",,449,,680,,318,,34,,11,,5,,5.45,,9.67,,2.6,,,
"(3V15) (657GF) West Plains, MO",,"1,199",,"1,172",,97.75%,,27,,2.25%,,"1,115",,24,,33,,17,,8,,2,,0,,0.67,,6.59,,9.2,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(3V15) (657GG) Paragould, AR",,661,,660,,99.85%,,1,,0.15%,,620,,19,,21,,1,,0,,0,,0,,1.38,,4.78,,2.97,,,
"(3V15) (657GH) Cape Girardeau, MO",,"1,230",,"1,217",,98.94%,,13,,1.06%,,"1,145",,43,,29,,13,,0,,0,,0,,1.5,,8.78,,4.57,,,
"(3V15) (657GI) Farmington, MO",,"1,166",,"1,155",,99.06%,,11,,0.94%,,"1,064",,44,,47,,11,,0,,0,,0,,1.99,,10.14,,4.52,,,
"(3V15) (657GN) Salem, MO",,56,,56,,100.00%,,0,,0.00%,,55,,0,,1,,0,,0,,0,,0,,0.57,,,,,,,
"(3V15) (657GV) Sikeston, MO",,555,,545,,98.20%,,10,,1.80%,,480,,20,,45,,9,,0,,1,,0,,3.82,,5.35,,4.8,,,
"(3V15) (657GW) Pocahontas, AR",,246,,245,,99.59%,,1,,0.41%,,226,,15,,4,,1,,0,,0,,0,,1.58,,,,6.29,,,
"(3V15) (657) St. Louis, MO HCS",,"38,075",,"36,143",,94.93%,,"1,932",,5.07%,,"31,060",,"2,218",,"2,865",,"1,454",,319,,87,,72,,5.31,,8.06,,3.5,,,
"(3V15) (657) St. Louis John Cochran, MO (John Cochran)",,"18,851",,"17,657",,93.67%,,"1,194",,6.33%,,"14,661",,"1,237",,"1,759",,885,,207,,57,,45,,7.71,,8.4,,6.74,,,
"(3V15) (657A0) St. Louis Jefferson Barracks, MO",,"10,391",,"9,967",,95.92%,,424,,4.08%,,"8,704",,543,,720,,326,,59,,23,,16,,5.1,,8.88,,2.77,,,
"(3V15) (657BU) St. Louis-Jefferson Barracks, MO - VADOM",,12,,12,,100.00%,,0,,0.00%,,11,,0,,1,,0,,0,,0,,0,,,,,,,,,
"(3V15) (657GA) St. Clair County, IL",,"1,386",,"1,272",,91.77%,,114,,8.23%,,"1,122",,67,,83,,104,,9,,0,,1,,6.18,,17.06,,14.56,,,
"(3V15) (657GB) St. Louis County, MO",,"1,063",,"1,045",,98.31%,,18,,1.69%,,961,,50,,34,,13,,4,,0,,1,,2.78,,5.36,,1.86,,,
"(3V15) (657GD) St. Charles County, MO",,"1,425",,"1,356",,95.16%,,69,,4.84%,,"1,248",,53,,55,,53,,15,,0,,1,,4.97,,6.11,,1.84,,,
"(3V15) (657GS) Franklin County, MO",,680,,677,,99.56%,,3,,0.44%,,620,,43,,14,,3,,0,,0,,0,,2.01,,5.25,,0.89,,,
"(3V15) (657GX) Washington Avenue, MO",,"1,130",,"1,111",,98.32%,,19,,1.68%,,995,,70,,46,,11,,5,,0,,3,,3.6,,9.44,,1.48,,,
"(3V15) (657GY) Manchester Avenue, MO",,"1,116",,"1,055",,94.53%,,61,,5.47%,,921,,68,,66,,36,,16,,6,,3,,7.38,,4.45,,0.53,,,
(3V15) (657MA) IDES Scott AFB,,63,,63,,100.00%,,0,,0.00%,,63,,0,,0,,0,,0,,0,,0,,,,0,,,,,
"(3V15) (657QA) Olive Street, MO",,"1,390",,"1,364",,98.13%,,26,,1.87%,,"1,207",,76,,81,,20,,4,,1,,1,,5.22,,3.15,,3.9,,,
"(3V15) (657QB) Washington Boulevard, MO",,485,,481,,99.18%,,4,,0.82%,,464,,11,,6,,3,,0,,0,,1,,,,,,,,,
"(3V15) (657QE) Scott Air Force Base, IL",,83,,83,,100.00%,,0,,0.00%,,83,,0,,0,,0,,0,,0,,0,,,,0.44,,0.64,,,
"(4V16) (502) Alexandria, LA HCS",,"18,085",,"17,421",,96.33%,,664,,3.67%,,"15,487",,932,,"1,002",,484,,111,,37,,32,,3.57,,7.51,,5.58,,,
"(4V16) (502) Alexandria, LA",,"10,690",,"10,283",,96.19%,,407,,3.81%,,"9,108",,552,,623,,279,,79,,26,,23,,3.83,,7.82,,5.52,,,
"(4V16) (502GA) Jennings, LA",,493,,486,,98.58%,,7,,1.42%,,461,,16,,9,,6,,1,,0,,0,,2.53,,0,,1.33,,,
"(4V16) (502GB) Lafayette, LA",,"2,773",,"2,681",,96.68%,,92,,3.32%,,"2,349",,164,,168,,72,,14,,3,,3,,4.28,,6.79,,0.48,,,
"(4V16) (502GE) Lake Charles, LA (Douglas Fournet)",,"1,580",,"1,524",,96.46%,,56,,3.54%,,"1,388",,61,,75,,45,,3,,6,,2,,3.54,,5.32,,5.19,,,
"(4V16) (502GF) Fort Polk, LA",,"1,211",,"1,185",,97.85%,,26,,2.15%,,"1,103",,45,,37,,17,,4,,1,,4,,2.13,,0.44,,6.51,,,
"(4V16) (502GG) Natchitoches, LA",,465,,464,,99.78%,,1,,0.22%,,449,,11,,4,,1,,0,,0,,0,,1.32,,0,,1.14,,,
"(4V16) (502QB) Lafayette Campus B, LA",,873,,798,,91.41%,,75,,8.59%,,629,,83,,86,,64,,10,,1,,0,,,,,,7.85,,,
"(4V16) (520) Gulf Coast, MS HCS",,"41,285",,"39,043",,94.57%,,"2,242",,5.43%,,"34,308",,"2,424",,"2,311",,"1,547",,469,,137,,89,,5.63,,7.03,,5.47,,,
"(4V16) (520) Biloxi, MS",,"17,018",,"16,252",,95.50%,,766,,4.50%,,"14,524",,882,,846,,557,,136,,37,,36,,5.8,,6.16,,5.26,,,
"(4V16) (520BZ) Pensacola, FL",,"13,612",,"12,579",,92.41%,,"1,033",,7.59%,,"10,547",,"1,059",,973,,710,,220,,63,,40,,8.02,,7.84,,6.35,,,
"(4V16) (520GA) Mobile, AL",,"5,313",,"5,042",,94.90%,,271,,5.10%,,"4,558",,230,,254,,168,,69,,25,,9,,4.83,,7.47,,4.16,,,
"(4V16) (520GB) Panama City Beach, FL",,"2,081",,"2,051",,98.56%,,30,,1.44%,,"1,913",,86,,52,,17,,6,,5,,2,,1.65,,8.84,,2.38,,,
"(4V16) (520GC) Eglin Air Force Base, FL",,"2,576",,"2,448",,95.03%,,128,,4.97%,,"2,152",,145,,151,,84,,36,,7,,1,,4.79,,7.56,,8.28,,,
"(4V16) (520QA) Panama City Beach West, FL",,685,,671,,97.96%,,14,,2.04%,,614,,22,,35,,11,,2,,0,,1,,0,,2.2,,4.82,,,
"(4V16) (564) Fayetteville, AR HCS",,"33,551",,"32,633",,97.26%,,918,,2.74%,,"29,679",,"1,434",,"1,520",,639,,188,,45,,46,,3.87,,4.27,,4.09,,,
"(4V16) (564) Fayetteville, AR",,"14,926",,"14,396",,96.45%,,530,,3.55%,,"12,870",,692,,834,,376,,113,,26,,15,,4.22,,5.49,,3.66,,,
"(4V16) (564BY) Springfield, MO (Gene Taylor)",,"7,157",,"7,034",,98.28%,,123,,1.72%,,"6,335",,391,,308,,105,,16,,2,,0,,1.79,,3.36,,4.31,,,
"(4V16) (564GA) Harrison, AR",,352,,352,,100.00%,,0,,0.00%,,336,,14,,2,,0,,0,,0,,0,,1.17,,12.33,,3.5,,,
"(4V16) (564GB) Fort Smith, AR",,"3,477",,"3,350",,96.35%,,127,,3.65%,,"3,141",,93,,116,,81,,40,,6,,0,,4.57,,2.21,,7.8,,,
"(4V16) (564GC) Branson, MO",,"2,991",,"2,965",,99.13%,,26,,0.87%,,"2,807",,79,,79,,23,,0,,1,,2,,3.23,,1.3,,1.75,,,
"(4V16) (564GD) Ozark, AR",,441,,434,,98.41%,,7,,1.59%,,380,,29,,25,,6,,1,,0,,0,,3.26,,1.55,,4.17,,,
"(4V16) (564GE) Jay, OK",,546,,545,,99.82%,,1,,0.18%,,533,,5,,7,,0,,0,,0,,1,,1.62,,7.94,,0.74,,,
"(4V16) (564GF) Joplin, MO",,"2,169",,"2,070",,95.44%,,99,,4.56%,,"1,925",,68,,77,,43,,18,,10,,28,,8,,3.11,,2.75,,,
"(4V16) (564QA) Township, AR",,393,,393,,100.00%,,0,,0.00%,,393,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(4V16) (564QB) Sunbridge, AR",,"1,099",,"1,094",,99.55%,,5,,0.45%,,959,,63,,72,,5,,0,,0,,0,,,,3.51,,,,,
"(4V16) (580) Houston, TX HCS",,"75,804",,"74,116",,97.77%,,"1,688",,2.23%,,"68,275",,"2,895",,"2,946",,"1,391",,228,,40,,29,,2.25,,3.89,,1.57,,,
"(4V16) (580) Houston, TX (Michael E. DeBakey)",,"49,680",,"48,335",,97.29%,,"1,345",,2.71%,,"44,099",,"2,029",,"2,207",,"1,118",,172,,32,,23,,2.28,,4.24,,1.88,,,
"(4V16) (580BY) Beaumont, TX",,"2,619",,"2,577",,98.40%,,42,,1.60%,,"2,355",,141,,81,,34,,6,,1,,1,,4.71,,0.1,,0.45,,,
"(4V16) (580BZ) Lufkin, TX (Charles Wilson)",,"2,666",,"2,627",,98.54%,,39,,1.46%,,"2,381",,167,,79,,24,,13,,1,,1,,2.5,,4.5,,2.74,,,
"(4V16) (580GC) Galveston County, TX",,701,,695,,99.14%,,6,,0.86%,,665,,14,,16,,5,,1,,0,,0,,1.19,,0,,1.27,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(4V16) (580GD) Conroe, TX",,"5,269",,"5,189",,98.48%,,80,,1.52%,,"4,898",,139,,152,,60,,18,,2,,0,,1.98,,2.49,,1.13,,,
"(4V16) (580GE) Katy, TX",,"3,910",,"3,845",,98.34%,,65,,1.66%,,"3,701",,68,,76,,60,,3,,1,,1,,1.34,,3.18,,0.55,,,
"(4V16) (580GF) Lake Jackson, TX",,"1,376",,"1,373",,99.78%,,3,,0.22%,,"1,318",,42,,13,,2,,0,,0,,1,,1.37,,,,1.82,,,
"(4V16) (580GG) Richmond, TX",,"2,947",,"2,912",,98.81%,,35,,1.19%,,"2,709",,105,,98,,27,,7,,1,,0,,1.78,,3.33,,1.34,,,
"(4V16) (580GH) Tomball, TX",,"3,542",,"3,484",,98.36%,,58,,1.64%,,"3,234",,109,,141,,49,,6,,1,,2,,2.06,,2.52,,1.46,,,
"(4V16) (580GJ) Texas City, TX",,"3,094",,"3,079",,99.52%,,15,,0.48%,,"2,915",,81,,83,,12,,2,,1,,0,,1.92,,0.87,,1.67,,,
"(4V16) (586) Jackson, MS HCS",,"24,999",,"23,947",,95.79%,,"1,052",,4.21%,,"21,676",,"1,071",,"1,200",,674,,239,,83,,56,,5.01,,6.65,,2.58,,,
"(4V16) (586) Jackson, MS (G.V. (Sonny) Montgomery)",,"19,725",,"18,862",,95.62%,,863,,4.38%,,"17,210",,761,,891,,546,,202,,72,,43,,6.4,,6.08,,2.49,,,
"(4V16) (586GA) Kosciusko, MS",,488,,478,,97.95%,,10,,2.05%,,435,,28,,15,,6,,3,,0,,1,,2.53,,25.29,,0.66,,,
"(4V16) (586GB) Meridian, MS",,689,,683,,99.13%,,6,,0.87%,,640,,20,,23,,3,,1,,1,,1,,1.13,,56,,1.19,,,
"(4V16) (586GC) Greenville, MS",,525,,516,,98.29%,,9,,1.71%,,421,,46,,49,,7,,1,,1,,0,,3.27,,15.87,,5.39,,,
"(4V16) (586GD) Hattiesburg, MS",,"1,716",,"1,637",,95.40%,,79,,4.60%,,"1,479",,70,,88,,45,,19,,5,,10,,6.81,,30.35,,3.27,,,
"(4V16) (586GE) Natchez, MS",,384,,383,,99.74%,,1,,0.26%,,359,,16,,8,,1,,0,,0,,0,,1.42,,15.33,,0.1,,,
"(4V16) (586GF) Columbus, MS",,431,,426,,98.84%,,5,,1.16%,,387,,20,,19,,4,,1,,0,,0,,1.75,,25.5,,3.34,,,
"(4V16) (586GG) McComb, MS",,485,,476,,98.14%,,9,,1.86%,,398,,48,,30,,7,,2,,0,,0,,4.32,,5.5,,2.74,,,
"(4V16) (586QB) Dogwood View Parkway, MS",,556,,486,,87.41%,,70,,12.59%,,347,,62,,77,,55,,10,,4,,1,,,,11.4,,,,,
"(4V16) (598) Little Rock, AR HCS",,"47,137",,"45,319",,96.14%,,"1,818",,3.86%,,"40,381",,"2,388",,"2,550",,"1,231",,365,,111,,111,,3.55,,7.6,,2.4,,,
"(4V16) (598) Little Rock, AR (John L. McClellan)",,"16,901",,"15,927",,94.24%,,974,,5.76%,,"13,937",,886,,"1,104",,599,,260,,64,,51,,2.49,,7.54,,11.9,,,
"(4V16) (598A0) North Little Rock, AR (Eugene J. Towbin Healthcare Center)",,"19,402",,"18,799",,96.89%,,603,,3.11%,,"16,954",,969,,876,,441,,83,,30,,49,,4.28,,7.93,,1.87,,,
"(4V16) (598GA) Mountain Home, AR",,"1,444",,"1,420",,98.34%,,24,,1.66%,,"1,244",,81,,95,,22,,0,,2,,0,,1.99,,8.87,,3.9,,,
"(4V16) (598GB) El Dorado, AR",,"1,050",,"1,037",,98.76%,,13,,1.24%,,986,,25,,26,,8,,2,,2,,1,,2.08,,1.96,,6.14,,,
"(4V16) (598GC) Hot Springs, AR",,"2,590",,"2,518",,97.22%,,72,,2.78%,,"2,250",,120,,148,,50,,12,,8,,2,,4.72,,4.81,,1.48,,,
"(4V16) (598GD) Mena, AR",,573,,571,,99.65%,,2,,0.35%,,530,,32,,9,,2,,0,,0,,0,,1.75,,2.33,,2.93,,,
"(4V16) (598GE) Pine Bluff, AR",,"1,232",,"1,221",,99.11%,,11,,0.89%,,"1,117",,71,,33,,10,,1,,0,,0,,2.87,,0.2,,3.82,,,
"(4V16) (598GF) Searcy, AR",,"1,135",,"1,125",,99.12%,,10,,0.88%,,"1,077",,30,,18,,10,,0,,0,,0,,1.24,,4.16,,1.39,,,
"(4V16) (598GG) Conway, AR",,"1,952",,"1,854",,94.98%,,98,,5.02%,,"1,565",,103,,186,,79,,7,,5,,7,,4.24,,10.85,,1.73,,,
"(4V16) (598GH) Russellville, AR",,825,,816,,98.91%,,9,,1.09%,,705,,67,,44,,8,,0,,0,,1,,4.19,,1.18,,3.77,,,
"(4V16) (598QA) Little Rock Main Street, AR",,33,,31,,93.94%,,2,,6.06%,,16,,4,,11,,2,,0,,0,,0,,,,11.94,,,,,
"(4V16) (629) New Orleans, LA HCS",,"42,408",,"39,772",,93.78%,,"2,636",,6.22%,,"34,147",,"2,627",,"2,998",,"1,847",,492,,149,,148,,4.55,,8.46,,6.47,,,
"(4V16) (629) New Orleans, LA",,"29,278",,"27,013",,92.26%,,"2,265",,7.74%,,"22,733",,"1,883",,"2,397",,"1,572",,434,,131,,128,,5.89,,9.64,,7.62,,,
"(4V16) (629BY) Baton Rouge, LA",,"4,747",,"4,637",,97.68%,,110,,2.32%,,"4,174",,280,,183,,71,,29,,2,,8,,3.75,,3.65,,4.16,,,
"(4V16) (629GA) Houma, LA",,"1,111",,"1,088",,97.93%,,23,,2.07%,,979,,69,,40,,20,,2,,0,,1,,1.4,,2.73,,6.08,,,
"(4V16) (629GB) Hammond, LA",,"2,184",,"2,124",,97.25%,,60,,2.75%,,"1,894",,139,,91,,51,,3,,5,,1,,2.82,,2.74,,7.06,,,
"(4V16) (629GC) Slidell, LA",,"1,531",,"1,481",,96.73%,,50,,3.27%,,"1,276",,78,,127,,38,,6,,3,,3,,9.45,,3.43,,0.77,,,
"(4V16) (629GD) St. John, LA",,615,,608,,98.86%,,7,,1.14%,,554,,35,,19,,7,,0,,0,,0,,2.47,,2.83,,3.21,,,
"(4V16) (629GE) Franklin, LA",,287,,279,,97.21%,,8,,2.79%,,263,,8,,8,,6,,2,,0,,0,,1.93,,0,,7.49,,,
"(4V16) (629GF) Bogalusa, LA",,365,,365,,100.00%,,0,,0.00%,,354,,5,,6,,0,,0,,0,,0,,0.39,,14,,1.74,,,
"(4V16) (629QA) Baton Rouge South, LA",,"2,290",,"2,177",,95.07%,,113,,4.93%,,"1,920",,130,,127,,82,,16,,8,,7,,,,6.9,,7.21,,,
"(4V16) (667) Shreveport, LA HCS",,"20,833",,"19,692",,94.52%,,"1,141",,5.48%,,"17,322",,"1,220",,"1,150",,698,,232,,107,,104,,4.59,,7.84,,3.95,,,
"(4V16) (667) Shreveport, LA (Overton Brooks)",,"15,619",,"14,719",,94.24%,,900,,5.76%,,"12,856",,940,,923,,512,,200,,100,,88,,3.37,,8.8,,2.94,,,
"(4V16) (667GA) Texarkana, AR",,"1,709",,"1,634",,95.61%,,75,,4.39%,,"1,384",,135,,115,,69,,5,,0,,1,,4.57,,0.69,,13.9,,,
"(4V16) (667GB) Monroe, LA",,"1,728",,"1,680",,97.22%,,48,,2.78%,,"1,583",,59,,38,,34,,8,,1,,5,,4.29,,0.69,,1.96,,,
"(4V16) (667GC) Longview, TX",,"1,611",,"1,493",,92.68%,,118,,7.32%,,"1,333",,86,,74,,83,,19,,6,,10,,8.42,,0.65,,6.8,,,
"(4V16) (667QA) Knight Street, LA",,166,,166,,100.00%,,0,,0.00%,,166,,0,,0,,0,,0,,0,,0,,,,0,,,,,
"(4V17) (549) Dallas, TX HCS",,"75,198",,"70,371",,93.58%,,"4,827",,6.42%,,"61,434",,"4,182",,"4,755",,"3,042",,"1,006",,467,,312,,5.38,,9.79,,4.25,,,
"(4V17) (549) Dallas, TX",,"44,076",,"40,853",,92.69%,,"3,223",,7.31%,,"36,194",,"2,093",,"2,566",,"1,957",,674,,365,,227,,5.1,,10.97,,2.73,,,
"(4V17) (549A4) Bonham, TX (Sam Rayburn Center)",,"6,496",,"6,186",,95.23%,,310,,4.77%,,"5,538",,390,,258,,279,,25,,2,,4,,2.05,,6.93,,1.43,,,
"(4V17) (549BY) Fort Worth, TX",,"14,745",,"13,876",,94.11%,,869,,5.89%,,"11,549",,"1,034",,"1,293",,577,,200,,64,,28,,6.34,,6.99,,5.94,,,
"(4V17) (549GD) Denton, TX",,"1,955",,"1,812",,92.69%,,143,,7.31%,,"1,458",,174,,180,,61,,43,,15,,24,,12.39,,16.8,,5.49,,,
"(4V17) (549GE) Decatur, TX",,325,,312,,96.00%,,13,,4.00%,,248,,26,,38,,9,,0,,0,,4,,7.12,,0,,10.47,,,
"(4V17) (549GF) Granbury, TX",,247,,233,,94.33%,,14,,5.67%,,184,,26,,23,,8,,3,,1,,2,,8.27,,,,14.7,,,
"(4V17) (549GH) Greenville, TX",,355,,338,,95.21%,,17,,4.79%,,288,,17,,33,,7,,4,,5,,1,,4.27,,11.27,,19.18,,,
