facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V08) (546GF) Hollywood,,"1,445","1,442",,,99.79%,3,0.21%,"1,386",,40,16,3,0,0,0,1,1,1,
(V08) (546GH) Deerfield Beach,,635,635,,,100.00%,0,0.00%,624,,5,6,0,0,0,0,1,0.70,1,
"(V08) (548) West Palm Beach, FL",,"52,730","50,686",,,96.12%,"2,044",3.88%,"45,753",,"2,508","2,425","1,232",578,162,72,2,7,4,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V08) (548) West Palm Beach VAMC,,"41,227","39,237",,,95.17%,"1,990",4.83%,"34,838",,"2,173","2,226","1,182",576,160,72,3,8,4,
(V08) (548GA) Fort Pierce,,"2,158","2,127",,,98.56%,31,1.44%,"2,005",,74,48,27,2,2,0,2,3,6,
(V08) (548GB) Delray Beach,,"3,043","3,023",,,99.34%,20,0.66%,"2,828",,120,75,20,0,0,0,2,3,4,
(V08) (548GC) Stuart,,"2,507","2,507",,,100.00%,0,0.00%,"2,402",,66,39,0,0,0,0,1,2,2,
(V08) (548GD) Boca Raton,,"1,399","1,397",,,99.86%,2,0.14%,"1,339",,39,19,2,0,0,0,1,2,1,
(V08) (548GE) Vero Beach,,"1,354","1,354",,,100.00%,0,0.00%,"1,308",,29,17,0,0,0,0,1,1,1,
(V08) (548GF) Okeechobee,,"1,042","1,041",,,99.90%,1,0.10%,"1,033",,7,1,1,0,0,0,0.40,0,1,
"(V08) (573) Gainesville, FL",,"86,474","81,540",,,94.29%,"4,934",5.71%,"71,714",,"4,708","5,118","3,316","1,013",419,186,6,9,3,
(V08) (573) Malcolm Randall VAMC,,"32,365","30,823",,,95.24%,"1,542",4.76%,"27,368",,"1,528","1,927","1,156",205,133,48,5,7.00,2,
(V08) (573A4) Lake City VAMC,,"10,680","10,279",,,96.25%,401,3.75%,"9,391",,445,443,279,79,32,11,11,5,1,
"(V08) (573BY) Jacksonville 1 VA
Clinic",,"16,614","14,718",,,88.59%,"1,896",11.41%,"11,968",,"1,230","1,520","1,221",491,123,61,7,16,5,
(V08) (573GA) Valdosta,,"1,412","1,399",,,99.08%,13,0.92%,"1,379",,12,8,10,2,0,1,0,6,0.00,
(V08) (573GD) Ocala,,"3,601","3,468",,,96.31%,133,3.69%,"3,112",,226,130,117,16,0,0,2,5,6,
(V08) (573GE) Saint Augustine,,"2,257","2,145",,,95.04%,112,4.96%,"1,872",,133,140,72,31,9,0,9,6,2,
(V08) (573GF) Tallahassee,,"6,598","6,109",,,92.59%,489,7.41%,"5,354",,392,363,253,141,51,44,9,13,1,
(V08) (573GG) Lecanto,,"1,837","1,831",,,99.67%,6,0.33%,"1,722",,55,54,4,1,0,1,2,3,0,
(V08) (573GI) The Villages,,"7,233","6,991",,,96.65%,242,3.35%,"6,189",,445,357,125,36,62,19,6,4,3,
(V08) (573GJ) Saint Marys,,"1,027","1,013",,,98.64%,14,1.36%,909,,64,40,14,0,0,0,3,7,3,
(V08) (573GK) Marianna,,916,907,,,99.02%,9,0.98%,748,,93,66,4,2,3,0,4,14.00,3,
(V08) (573GL) Palatka,,858,839,,,97.79%,19,2.21%,766,,31,42,15,3,1,0,2,7,4,
(V08) (573GM) Waycross,,559,557,,,99.64%,2,0.36%,537,,13,7,1,1,0,0,1,8,1,
(V08) (573GN) Perry,,131,112,,,85.50%,19,14.50%,99,,6,7,19,0,0,0,8.00,,,
(V08) (573PA) Gainesville PRRTP,,2,2,,,100.00%,0,0.00%,2,,0,0,0,0,0,0,,,,
(V08) (573QJ) Jacksonville 2,,384,347,,,90.36%,37,9.64%,298,,35,14,26,5,5,1,9,,,
"(V08) (672) San Juan, PR",,"72,268","71,224",,,98.56%,"1,044",1.44%,"66,875",,"2,404","1,945",683,259,77,25,2,4,2,
(V08) (672) San Juan VAMC,,"49,982","48,969",,,97.97%,"1,013",2.03%,"45,042",,"2,108","1,819",669,246,73,25,2,5,2,
(V08) (672B0) Ponce,,"8,647","8,639",,,99.91%,8,0.09%,"8,523",,91,25,4,3,1,0,1,0,1,
(V08) (672BZ) Mayaguez,,"7,687","7,676",,,99.86%,11,0.14%,"7,520",,106,50,5,5,1,0,0,1,1,
(V08) (672GA) St Croix,,238,236,,,99.16%,2,0.84%,230,,5,1,1,1,0,0,0,8,0.00,
(V08) (672GB) St Thomas,,279,272,,,97.49%,7,2.51%,252,,15,5,1,4,2,0,4,3,0.00,
(V08) (672GC) Arecibo,,"2,705","2,705",,,100.00%,0,0.00%,"2,681",,18,6,0,0,0,0,0,0.70,0.10,
(V08) (672GD) Ceiba,,"1,823","1,821",,,99.89%,2,0.11%,"1,725",,57,39,2,0,0,0,2,1,1,
(V08) (672GE) Guayama,,907,906,,,99.89%,1,0.11%,902,,4,0,1,0,0,0,0,0.00,0,
"(V08) (673) Tampa, FL",,"67,442","66,051",,,97.94%,"1,391",2.06%,"59,228",,"3,603","3,220",767,440,122,62,2,5,3,
"(V08) (673) James A Haley Veterans
Hospital",,"52,727","51,565",,,97.80%,"1,162",2.20%,"46,533",,"2,488","2,544",663,357,82,60,2,4,2.00,
(V08) (673BZ) New Port Richey,,"7,927","7,710",,,97.26%,217,2.74%,"6,767",,498,445,92,83,40,2,3,8,4,
(V08) (673GB) Lakeland,,"3,380","3,376",,,99.88%,4,0.12%,"2,808",,404,164,4,0,0,0,3,4,4,
(V08) (673GC) Brooksville,,"2,457","2,456",,,99.96%,1,0.04%,"2,263",,164,29,1,0,0,0,2,2,3,
(V08) (673GF) Zephyrhills,,945,938,,,99.26%,7,0.74%,851,,49,38,7,0,0,0,2,5,3,
"(V08) (673QK) Tampa 1 VA Mobile
Clinic",,6,6,,,100.00%,0,0.00%,6,,0,0,0,0,0,0,,0.00,,
"(V08) (675) Orlando, FL",,"77,271","74,160",,,95.97%,"3,111",4.03%,"66,024",,"3,944","4,192","2,209",678,165,59,4,6,3,
"(V08) (675) Orlando VA Medical
Center",,"26,136","25,118",,,96.10%,"1,018",3.90%,"22,016",,"1,539","1,563",727,224,40,27,4,6,3,
(V08) (675BU) Orlando Domiciliary,,22,22,,,100.00%,0,0.00%,22,,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V08) (675GA) Viera,,"15,951","14,676",,,92.01%,"1,275",7.99%,"12,220",,974,"1,482",891,284,79,21,6,10,6,
"(V08) (675GB) William V Chappell Jr
VA OPC",,"12,189","12,093",,,99.21%,96,0.79%,"11,474",,378,241,67,21,6,2,1,1.90,3,
(V08) (675GC) Kissimee,,"1,791","1,754",,,97.93%,37,2.07%,"1,690",,36,28,25,10,2,0,3,2,1,
(V08) (675GD) Orange City,,"1,467","1,429",,,97.41%,38,2.59%,"1,335",,49,45,16,15,6,1,5.60,1,2,
(V08) (675GE) Leesburg,,"1,455","1,422",,,97.73%,33,2.27%,"1,312",,72,38,29,3,1,0,4,3,1,
(V08) (675GF) Clermont,,962,940,,,97.71%,22,2.29%,844,,55,41,18,3,1,0,5,1.90,4,
(V08) (675GG) Lake Baldwin,,"17,292","16,700",,,96.58%,592,3.42%,"15,105",,841,754,436,118,30,8,5,6,2,
"(V08) (675QE) Orlando VA Mobile
Clinic",,6,6,,,100.00%,0,0.00%,6,,0,0,0,0,0,0,,0.00,,
"(V09) (581) Huntington, WV",,"26,007","24,054",,,92.49%,"1,953",7.51%,"20,709",,"1,422","1,923","1,390",504,47,12,11,8,3,
(V09) (581) Huntington VAMC,,"21,720","19,996",,,92.06%,"1,724",7.94%,"17,003",,"1,254","1,739","1,247",424,42,11,15,9,3,
(V09) (581GA) Prestonsburg,,"1,545","1,356",,,87.77%,189,12.23%,"1,265",,35,56,103,80,5,1,11,13,3,
(V09) (581GB) Charleston,,"2,742","2,702",,,98.54%,40,1.46%,"2,441",,133,128,40,0,0,0,4,1,3,
"(V09) (596) Lexington, KY",,"26,418","25,298",,,95.76%,"1,120",4.24%,"21,406",,"1,800","2,092",860,161,86,13,4.70,8,4,
"(V09) (596) Lexington VAMC-
Leestown",,"10,494","10,308",,,98.23%,186,1.77%,"8,846",,681,781,145,34,7,0,5,5,4,
(V09) (596A4) Lexington-Cooper Dr,,"12,185","11,434",,,93.84%,751,6.16%,"9,436",,889,"1,109",568,92,78,13,,9,1,
(V09) (596BU) Lexington Domiciliary,,25,25,,,100.00%,0,0.00%,25,,0,0,0,0,0,0,,,,
(V09) (596GA) Somerset,,"1,680","1,541",,,91.73%,139,8.27%,"1,238",,159,144,107,32,0,0,8.00,8,6.20,
(V09) (596GB) Morehead,,529,523,,,98.87%,6,1.13%,470,,34,19,4,2,0,0,3,15,0,
(V09) (596GC) Hazard,,518,504,,,97.30%,14,2.70%,479,,16,9,13,0,1,0,2,22,1,
(V09) (596GD) Berea,,987,963,,,97.57%,24,2.43%,912,,21,30,23,1,0,0,2.10,3,3,
"(V09) (603) Louisville, KY",,"33,590","33,226",,,98.92%,364,1.08%,"29,702",,"1,811","1,713",310,37,3,14,3,5,2,
(V09) (603) Robley Rex VAMC,,"17,473","17,124",,,98.00%,349,2.00%,"14,915",,"1,033","1,176",295,37,3,14,4,5,6,
(V09) (603GA) Fort Knox,,"1,806","1,806",,,100.00%,0,0.00%,"1,584",,112,110,0,0,0,0,3,6,2,
(V09) (603GB) New Albany,,"2,674","2,670",,,99.85%,4,0.15%,"2,580",,70,20,4,0,0,0,1,0,1,
(V09) (603GC) Shively,,"2,778","2,768",,,99.64%,10,0.36%,"2,271",,243,254,10,0,0,0,4.90,1,4,
(V09) (603GD) Dupont,,"2,028","2,028",,,100.00%,0,0.00%,"1,952",,59,17,0,0,0,0,2,,1,
(V09) (603GE) Newburg,,"2,572","2,572",,,100.00%,0,0.00%,"2,329",,153,90,0,0,0,0,3,2,2,
(V09) (603GF) Grayson County,,"2,139","2,138",,,99.95%,1,0.05%,"2,017",,92,29,1,0,0,0,2,2,1,
(V09) (603GG) Scott County,,"1,247","1,247",,,100.00%,0,0.00%,"1,204",,32,11,0,0,0,0,1.80,1,1,
(V09) (603GH) Carrollton,,773,773,,,100.00%,0,0.00%,750,,17,6,0,0,0,0,1,0.20,2,
(V09) (603MA) IDES Fort Knox,,83,83,,,100.00%,0,0.00%,83,,0,0,0,0,0,0,,0.00,0.00,
(V09) (603PB) Louisville (SARRTP),,17,17,,,100.00%,0,0.00%,17,,0,0,0,0,0,0,,,0.00,
"(V09) (614) Memphis, TN",,"41,445","40,923",,,98.74%,522,1.26%,"38,571",,"1,404",948,412,65,12,33,3,3,2,
(V09) (614) Memphis VAMC,,"30,011","29,588",,,98.59%,423,1.41%,"28,001",,954,633,323,56,11,33,2,3,2,
(V09) (614GA) Tupelo,,"1,260","1,260",,,100.00%,0,0.00%,"1,067",,144,49,0,0,0,0,4,0.00,0,
(V09) (614GB) Jonesboro,,"1,139","1,139",,,100.00%,0,0.00%,"1,137",,2,0,0,0,0,0,0,0,1,
(V09) (614GC) Marshall County,,461,461,,,100.00%,0,0.00%,437,,21,3,0,0,0,0,2,0.00,0.00,
(V09) (614GD) Savannah,,513,513,,,100.00%,0,0.00%,513,,0,0,0,0,0,0,0.00,0.00,0.00,
(V09) (614GE) Covington,,"2,310","2,253",,,97.53%,57,2.47%,"2,048",,89,116,56,1,0,0,8,1,1,
(V09) (614GF) Memphis South,,"2,684","2,647",,,98.62%,37,1.38%,"2,465",,82,100,29,7,1,0,3,1,0,
(V09) (614GG) Jackson,,"2,028","2,023",,,99.75%,5,0.25%,"1,916",,64,43,4,1,0,0,2,1,0,
(V09) (614GI) Dyersburg,,770,770,,,100.00%,0,0.00%,724,,44,2,0,0,0,0,3,0.00,1,
(V09) (614GN) Helena,,269,269,,,100.00%,0,0.00%,263,,4,2,0,0,0,0,1,,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V09) (621) Mountain Home, TN",,"36,933","35,057",,,94.92%,"1,876",5.08%,"31,418",,"1,853","1,786","1,051",431,240,154,6,8,2,
(V09) (621) James H Quillen VAMC,,"25,596","24,156",,,94.37%,"1,440",5.63%,"21,704",,"1,214","1,238",787,354,207,92,7,8,2,
"(V09) (621BU) VADOM Mountain
Home",,129,129,,,100.00%,0,0.00%,123,,5,1,0,0,0,0,1,,,
"(V09) (621BY) William C Tallent VA
OPC",,"5,555","5,307",,,95.54%,248,4.46%,"4,696",,324,287,107,60,25,56,8,14,2,
(V09) (621GA) Rogersville,,577,535,,,92.72%,42,7.28%,483,,32,20,35,1,3,3,9,0,3.90,
(V09) (621GC) Norton,,"1,409","1,402",,,99.50%,7,0.50%,"1,278",,77,47,3,0,1,3,3,0.00,4.90,
(V09) (621GG) Morristown,,761,754,,,99.08%,7,0.92%,702,,37,15,4,3,0,0,3,1.00,3,
(V09) (621GI) Sevierville,,"1,184","1,146",,,96.79%,38,3.21%,"1,058",,52,36,26,12,0,0,4,0,2,
(V09) (621GJ) Bristol,,"1,233","1,148",,,93.11%,85,6.89%,923,,91,134,84,1,0,0,8,0.00,3.80,
(V09) (621GK) Campbell County,,489,480,,,98.16%,9,1.84%,451,,21,8,5,0,4,0,3,0,3,
"(V09) (626) Middle Tennessee HCS, TN",,"61,197","57,935",,,94.67%,"3,262",5.33%,"52,352",,"2,648","2,935","2,021",809,290,142,6,6,5,
(V09) (626) Nashville VAMC,,"29,738","27,780",,,93.42%,"1,958",6.58%,"24,826",,"1,346","1,608","1,299",435,161,63,10,7,6.50,
(V09) (626A4) Alvin C York VAMC,,"16,186","15,682",,,96.89%,504,3.11%,"14,863",,405,414,185,148,100,71,2,6,1,
(V09) (626GA) Dover,,433,362,,,83.60%,71,16.40%,215,,102,45,23,42,6,0,20,0.00,6.10,
(V09) (626GC) Bowling Green,,911,794,,,87.16%,117,12.84%,543,,96,155,108,9,0,0,10,15,14,
(V09) (626GE) Clarksville,,"3,037","2,964",,,97.60%,73,2.40%,"2,701",,123,140,57,13,1,2,1,5,5,
(V09) (626GF) Chattanooga,,"5,945","5,594",,,94.10%,351,5.90%,"5,002",,299,293,274,57,16,4,7,3.70,7,
(V09) (626GG) Tullahoma,,311,306,,,98.39%,5,1.61%,272,,23,11,2,2,0,1,4,3,4,
(V09) (626GH) Cookeville,,"1,286","1,281",,,99.61%,5,0.39%,"1,217",,33,31,3,2,0,0,1,0,1,
(V09) (626GJ) Hopkinsville,,996,842,,,84.54%,154,15.46%,709,,62,71,49,100,5,0,11,0,17,
(V09) (626GK) McMinnville,,701,688,,,98.15%,13,1.85%,491,,77,120,13,0,0,0,7,5,6,
(V09) (626GL) Roane County,,355,351,,,98.87%,4,1.13%,308,,33,10,3,0,1,0,3,1,4,
(V09) (626GM) Maury County,,597,591,,,98.99%,6,1.01%,516,,43,32,4,1,0,1,4,3,1,
(V09) (626GN) Athens,,364,363,,,99.73%,1,0.27%,352,,6,5,1,0,0,0,0,6,0.90,
(V09) (626MA) IDES Fort Campbell,,337,337,,,100.00%,0,0.00%,337,,0,0,0,0,0,0,,0,0,
"(V10) (538) Chillicothe, OH",,"16,184","15,288",,,94.46%,896,5.54%,"13,136",,913,"1,239",786,93,15,2,9,8,4,
(V10) (538) Chillicothe VAMC,,"10,526","10,014",,,95.14%,512,4.86%,"8,514",,612,888,426,69,15,2,11,8,1.60,
(V10) (538GA) Athens,,"1,296","1,202",,,92.75%,94,7.25%,"1,032",,78,92,94,0,0,0,11,2,6,
(V10) (538GB) Portsmouth,,"1,136","1,109",,,97.62%,27,2.38%,"1,011",,59,39,25,2,0,0,2,3,8,
(V10) (538GC) Marietta,,777,747,,,96.14%,30,3.86%,661,,29,57,29,1,0,0,6,2,5,
(V10) (538GD) Lancaster,,"1,577","1,393",,,88.33%,184,11.67%,"1,219",,72,102,175,9,0,0,11,11,8,
(V10) (538GE) Cambridge,,872,823,,,94.38%,49,5.62%,699,,63,61,37,12,0,0,5,9,8,
"(V10) (539) Cincinnati, OH",,"34,073","33,256",,,97.60%,817,2.40%,"30,363",,"1,522","1,371",618,164,32,3,3,4,2,
(V10) (539) Cincinnati VAMC,,"23,123","22,385",,,96.81%,738,3.19%,"20,110",,"1,120","1,155",544,159,32,3,5,5,1,
"(V10) (539A4) Cincinnati VAMC-Fort
Thomas",,810,810,,,100.00%,0,0.00%,808,,2,0,0,0,0,0,,0,0,
(V10) (539BV) Fort Thomas PRRTP,,7,7,,,100.00%,0,0.00%,7,,0,0,0,0,0,0,,,0.00,
(V10) (539GA) Bellevue,,"1,443","1,436",,,99.51%,7,0.49%,"1,363",,54,19,4,3,0,0,2,1,4,
(V10) (539GB) Clermont County,,"2,907","2,888",,,99.35%,19,0.65%,"2,628",,184,76,18,1,0,0,2,3.00,2,
(V10) (539GC) Dearborn,,"1,856","1,826",,,98.38%,30,1.62%,"1,788",,35,3,30,0,0,0,1.30,1,6,
(V10) (539GD) Florence,,"1,832","1,826",,,99.67%,6,0.33%,"1,736",,64,26,6,0,0,0,2,2,2,
(V10) (539GE) Hamilton,,"1,601","1,599",,,99.88%,2,0.12%,"1,572",,16,11,2,0,0,0,0,0,1,
(V10) (539GF) Georgetown,,494,479,,,96.96%,15,3.04%,351,,47,81,14,1,0,0,10,1,2,
"(V10) (541) Cleveland, OH",,"80,999","78,568",,,97.00%,"2,431",3.00%,"71,903",,"3,138","3,527","2,015",388,24,4,4,5,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V10) (541) Louis Stokes Cleveland
VAMC",,"36,361","35,146",,,96.66%,"1,215",3.34%,"31,465",,"1,468","2,213","1,167",46,2,0,10,5,3,
(V10) (541BY) Canton,,"5,448","5,116",,,93.91%,332,6.09%,"4,550",,352,214,220,110,2,0,7,8,1,
(V10) (541BZ) Youngstown,,"4,961","4,914",,,99.05%,47,0.95%,"4,564",,218,132,34,12,1,0,2,2,3,
(V10) (541GB) Lorain,,"3,027","3,004",,,99.24%,23,0.76%,"2,877",,87,40,19,3,1,0,1,1,2,
(V10) (541GC) Sandusky,,"1,611","1,603",,,99.50%,8,0.50%,"1,584",,15,4,7,0,0,1,0,2,0,
"(V10) (541GD) David F Winder VA
CBOC",,"4,480","4,464",,,99.64%,16,0.36%,"4,446",,6,12,13,3,0,0,0,1,0,
(V10) (541GE) McCafferty,,569,567,,,99.65%,2,0.35%,549,,13,5,2,0,0,0,1,1,3,
(V10) (541GF) Painesville,,"2,735","2,699",,,98.68%,36,1.32%,"2,484",,134,81,22,14,0,0,2,4,1,
(V10) (541GG) Akron,,"6,564","6,349",,,96.72%,215,3.28%,"5,865",,281,203,202,4,6,3,2,6.00,2,
(V10) (541GH) East Liverpool,,"1,294","1,289",,,99.61%,5,0.39%,"1,233",,34,22,5,0,0,0,1,1,2,
(V10) (541GI) Warren,,"1,741","1,650",,,94.77%,91,5.23%,"1,330",,162,158,78,5,8,0,5,10,5,
(V10) (541GJ) New Philadelphia,,"1,725","1,714",,,99.36%,11,0.64%,"1,700",,13,1,11,0,0,0,0,0.90,0,
(V10) (541GK) Ravenna,,"1,554","1,554",,,100.00%,0,0.00%,"1,543",,9,2,0,0,0,0,0,0,0,
(V10) (541GL) Parma,,"8,864","8,434",,,95.15%,430,4.85%,"7,648",,346,440,235,191,4,0,7,6,2,
"(V10) (541GM) Cleveland VA Clinic-
Superior",,65,65,,,100.00%,0,0.00%,65,,0,0,0,0,0,0,,,,
"(V10) (552) Dayton, OH",,"28,031","27,418",,,97.81%,613,2.19%,"24,794",,"1,423","1,201",497,102,8,6,2,5,2,
(V10) (552) Dayton VAMC,,"21,060","20,571",,,97.68%,489,2.32%,"18,528",,"1,087",956,428,59,1,1,1,5.00,1,
(V10) (552GA) Middletown,,"1,511","1,498",,,99.14%,13,0.86%,"1,374",,68,56,11,2,0,0,1,4,2,
(V10) (552GB) Lima,,"2,170","2,113",,,97.37%,57,2.63%,"1,904",,102,107,25,24,6,2,6.10,10,2,
(V10) (552GC) Richmond,,"1,740","1,687",,,96.95%,53,3.05%,"1,529",,100,58,33,16,1,3,3,8,8,
(V10) (552GD) Springfield,,"1,550","1,549",,,99.94%,1,0.06%,"1,459",,66,24,0,1,0,0,0,2.80,3.80,
"(V10) (757) Columbus, OH",,"31,511","28,481",,,90.38%,"3,030",9.62%,"23,950",,"2,010","2,521","2,151",673,162,44,4,13,4,
"(V10) (757) Chalmers P Wylie
Veterans OC",,"26,222","23,531",,,89.74%,"2,691",10.26%,"19,800",,"1,653","2,078","1,865",634,150,42,3,13,4,
(V10) (757GA) Zanesville,,"1,341","1,311",,,97.76%,30,2.24%,"1,135",,79,97,26,3,1,0,6,7,1,
(V10) (757GB) Grove City,,"1,211","1,180",,,97.44%,31,2.56%,"1,044",,82,54,29,1,1,0,2,6,6,
(V10) (757GC) Marion,,"1,155","1,050",,,90.91%,105,9.09%,916,,45,89,82,16,6,1,4,27,9,
(V10) (757GD) Newark,,"1,582","1,409",,,89.06%,173,10.94%,"1,055",,151,203,149,19,4,1,12,13,7,
"(V11) (506) Ann Arbor, MI",,"36,271","34,336",,,94.67%,"1,935",5.33%,"30,729",,"1,592","2,015","1,480",326,57,72,6,6.50,1,
(V11) (506) Ann Arbor VAMC,,"26,762","25,393",,,94.88%,"1,369",5.12%,"23,144",,"1,031","1,218",993,259,45,72,5,6,2,
(V11) (506GA) Toledo,,"7,319","6,782",,,92.66%,537,7.34%,"5,668",,454,660,459,66,12,0,9.10,8,1,
(V11) (506GB) Flint,,"1,238","1,236",,,99.84%,2,0.16%,"1,110",,65,61,1,1,0,0,3,1,2,
(V11) (506GC) Jackson,,952,925,,,97.16%,27,2.84%,807,,42,76,27,0,0,0,5,0,3.70,
"(V11) (515) Battle Creek, MI",,"24,540","24,102",,,98.22%,438,1.78%,"21,252",,"1,440","1,410",390,48,0,0,2,6,2,
(V11) (515) Battle Creek VAMC,,"12,083","11,930",,,98.73%,153,1.27%,"10,440",,706,784,141,12,0,0,2,5,1,
"(V11) (515BU) Battle Creek
Domiciliary",,23,23,,,100.00%,0,0.00%,21,,2,0,0,0,0,0,,,,
(V11) (515BY) Grand Rapids,,"8,590","8,307",,,96.71%,283,3.29%,"7,210",,558,539,247,36,0,0,2,7,3,
(V11) (515GA) Muskegon,,"1,344","1,344",,,100.00%,0,0.00%,"1,242",,69,33,0,0,0,0,2,1,3,
(V11) (515GB) Lansing South,,"1,462","1,460",,,99.86%,2,0.14%,"1,325",,85,50,2,0,0,0,2,1,4,
(V11) (515GC) Benton Harbor,,"1,037","1,037",,,100.00%,0,0.00%,"1,013",,20,4,0,0,0,0,1,0,1,
(V11) (515PA) Battle Creek PRRTP,,1,1,,,100.00%,0,0.00%,1,,0,0,0,0,0,0,,,,
"(V11) (550) Danville, IL",,"19,518","18,651",,,95.56%,867,4.44%,"17,120",,677,854,752,97,15,3,4,5,5,
(V11) (550) Danville VAMC,,"10,912","10,612",,,97.25%,300,2.75%,"9,996",,327,289,284,16,0,0,0,5,0,
(V11) (550BY) Bob Michel VA OPC,,"4,711","4,319",,,91.68%,392,8.32%,"3,814",,169,336,293,81,15,3,7,5,16,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V11) (550GA) Decatur,,"1,313","1,176",,,89.57%,137,10.43%,"1,031",,58,87,137,0,0,0,7,10,2,
(V11) (550GC) Lafayette,,879,862,,,98.07%,17,1.93%,788,,32,42,17,0,0,0,3,0,2,
(V11) (550GD) Springfield,,"1,264","1,250",,,98.89%,14,1.11%,"1,126",,59,65,14,0,0,0,4,3,1,
(V11) (550GF) Charleston,,439,432,,,98.41%,7,1.59%,365,,32,35,7,0,0,0,6.10,2,3,
"(V11) (553) Detroit, MI",,"29,948","28,845",,,96.32%,"1,103",3.68%,"26,329",,"1,255","1,261",752,279,61,11,3,5,2,
(V11) (553) John D Dingell VAMC,,"27,965","26,866",,,96.07%,"1,099",3.93%,"24,452",,"1,183","1,231",749,278,61,11,4,5,2,
(V11) (553GA) Yale,,784,784,,,100.00%,0,0.00%,782,,2,0,0,0,0,0,0,0.00,0.00,
(V11) (553GB) Pontiac,,"1,199","1,195",,,99.67%,4,0.33%,"1,095",,70,30,3,1,0,0,2,3,2,
"(V11) (583) Indianapolis, IN",,"39,256","37,673",,,95.97%,"1,583",4.03%,"33,613",,"1,820","2,240","1,251",310,15,7,3,5,4,
"(V11) (583) Richard L Roudebush
VAMC",,"36,038","34,460",,,95.62%,"1,578",4.38%,"30,496",,"1,755","2,209","1,247",310,15,6,3,5,5,
